# Kp=1.2 Ki=0.05 Kd=5.0
time_s,current_alt_cm,target_alt_cm,pid_thr_ibus,pid_thr_0_255
0.166,5.9,25,,
0.376,5.8,25,1231,58
0.621,5.9,25,1251,64
0.785,5.8,25,1271,69
1.033,5.8,25,1291,74
1.209,6.2,25,1311,79
1.446,6.1,25,1331,84
1.637,6.4,25,1351,89
1.855,7.4,25,1371,94
2.106,11.0,25,1391,99
2.311,17.1,25,1409,104
2.515,24.7,25,1393,100
2.73,25.7,25,1273,69
2.946,14.1,25,1382,97
3.204,13.6,25,1517,131
3.394,35.1,25,1508,129
3.586,59.8,25,1358,91
3.821,68.3,25,1273,69
4.018,37.8,25,1423,107
4.268,32.6,25,1453,115
4.452,52.0,25,1513,130
4.686,52.0,25,1363,92
4.886,52.0,25,1366,93
5.099,52.0,25,1387,98
5.351,52.0,25,1389,99
5.527,52.0,25,1389,99
5.776,52.0,25,1389,99
5.969,52.0,25,1389,99
6.176,52.0,25,1389,99
6.382,52.9,25,1388,98
6.596,49.6,25,1388,98
6.88,46.7,25,1421,107
7.043,22.7,25,1451,115
7.239,11.3,25,1573,146
7.464,7.2,25,1573,146
7.702,6.2,25,1533,135
7.888,6.0,25,1468,119
8.102,5.9,25,1447,113
8.348,6.3,25,1444,113
8.551,7.1,25,1425,108
8.773,5.9,25,1450,114
9.011,6.0,25,1459,117
9.203,5.7,25,1442,112
9.443,9.0,25,1445,113
9.63,37.8,25,1363,92
9.833,57.9,25,1273,69
10.095,60.2,25,1273,69
10.32,60.2,25,1363,92
10.528,60.2,25,1484,123
10.711,60.2,25,1425,108
10.945,60.2,25,1420,107
11.178,60.2,25,1419,106
11.394,60.2,25,1419,106
11.601,60.2,25,1419,106
11.8,60.2,25,1419,106
12.021,60.2,25,1419,106
12.22,60.2,25,1419,106
12.43,60.2,25,1419,106
12.681,60.2,25,1419,106
12.877,60.2,25,1419,106
13.136,60.2,25,1419,106
13.316,60.2,25,1419,106
13.516,60.2,25,1419,106
13.727,60.2,25,1419,106
13.962,60.2,25,1419,106
14.216,60.2,25,1419,106
14.372,66.5,25,1419,106
14.608,71.1,25,1329,83
14.82,61.8,25,1318,81
15.033,59.6,25,1468,119
15.249,53.1,25,1498,126
15.468,42.5,25,1408,104
15.673,24.7,25,1489,124
15.889,17.5,25,1573,146
16.118,11.9,25,1573,146
16.314,8.1,25,1566,144
16.526,6.6,25,1525,133
16.756,6.4,25,1475,121
16.973,6.3,25,1446,113
17.184,6.3,25,1442,112
17.391,6.3,25,1442,112
17.615,6.3,25,1441,112
17.834,6.3,25,1441,112
18.024,6.2,25,1441,112
18.251,6.3,25,1442,112
18.471,6.3,25,1437,111
18.671,6.3,25,1440,112
18.929,6.3,25,1441,112
19.107,6.3,25,1442,112
19.352,6.3,25,1441,112
19.553,6.4,25,1440,112
19.746,6.3,25,1440,112
19.965,6.5,25,1441,112
20.199,6.3,25,1435,110
20.414,6.3,25,1444,113
20.619,6.3,25,1439,111
20.828,6.3,25,1438,111
21.029,6.2,25,1440,112
21.243,6.2,25,1444,113
21.46,6.2,25,1441,112
21.672,6.3,25,1440,112
21.904,6.4,25,1439,111
22.116,6.2,25,1437,111
22.335,6.2,25,1443,112
22.551,6.2,25,1442,112
22.763,6.4,25,1441,112
22.991,6.2,25,1436,111
23.178,6.3,25,1444,113
23.42,6.3,25,1439,111
23.613,6.3,25,1440,112
23.838,6.4,25,1443,112
24.076,6.3,25,1439,111
24.249,6.2,25,1441,112
24.492,6.3,25,1443,112
24.686,6.2,25,1439,111
24.911,6.3,25,1442,112
25.122,6.3,25,1437,111
25.337,6.3,25,1438,111
25.578,6.2,25,1439,111
25.748,6.2,25,1443,112
25.992,6.3,25,1442,112
26.188,6.2,25,1440,112
26.394,6.3,25,1442,112
26.628,6.4,25,1437,111
26.85,6.4,25,1439,111
27.038,6.2,25,1441,112
27.263,6.3,25,1440,112
27.491,6.3,25,1439,111
27.733,6.3,25,1438,111
