# Kp=1.2 Ki=0.05 Kd=5.0
time_s,current_alt_cm,target_alt_cm,pid_thr_ibus,pid_thr_0_255
0.141,5.7,25,,
0.373,5.7,25,1208,53
0.568,5.7,25,1228,58
0.799,5.7,25,1248,63
1.007,5.7,25,1268,68
1.213,5.7,25,1286,72
1.448,5.7,25,1306,78
1.658,5.9,25,1326,83
1.89,5.9,25,1346,88
2.089,6.8,25,1366,93
2.305,9.8,25,1386,98
2.53,15.8,25,1406,103
2.712,24.2,25,1422,107
2.95,28.0,25,1272,69
3.159,17.4,25,1332,84
3.367,13.0,25,1482,122
3.582,30.1,25,1542,138
3.784,32.7,25,1392,99
3.999,18.8,25,1325,82
4.216,35.1,25,1475,121
4.453,35.1,25,1351,89
4.675,35.1,25,1389,99
4.882,35.1,25,1408,104
5.13,59.6,25,1410,104
5.323,61.2,25,1272,69
5.598,55.8,25,1422,107
5.76,55.7,25,1302,77
5.959,55.1,25,1350,89
6.184,68.7,25,1377,96
6.39,60.8,25,1437,111
6.658,48.7,25,1467,119
6.803,26.4,25,1377,96
7.036,13.7,25,1527,134
7.249,7.5,25,1572,145
7.455,6.3,25,1572,145
7.702,6.0,25,1476,121
7.9,5.9,25,1446,113
8.133,5.9,25,1446,113
8.318,5.9,25,1442,112
8.546,5.9,25,1445,113
8.777,5.9,25,1441,112
8.967,6.0,25,1442,112
9.208,6.0,25,1441,112
9.389,6.0,25,1446,113
9.615,6.0,25,1444,113
9.823,6.0,25,1443,112
10.039,6.0,25,1443,112
10.239,6.0,25,1444,113
10.456,6.1,25,1444,113
10.693,6.1,25,1439,111
10.901,6.1,25,1440,112
11.125,6.1,25,1438,111
