# Kp=? Ki=? Kd=?
time_s,current_alt_cm,target_alt_cm,pid_thr_ibus,pid_thr_0_255
0.06,4.7,25.0,,
0.278,4.7,25.0,1235,59
0.532,4.8,25.0,1255,65
0.696,4.7,25.0,1275,70
0.918,4.7,25.0,1295,75
1.126,4.6,25.0,1315,80
1.341,4.7,25.0,1335,85
1.557,4.5,25.0,1355,90
1.775,4.6,25.0,1375,95
1.979,4.6,25.0,1395,100
2.194,4.5,25.0,1415,105
2.412,4.6,25.0,1435,110
2.653,4.6,25.0,1455,116
2.832,4.5,25.0,1475,121
3.07,4.7,25.0,1495,126
3.271,4.8,25.0,1515,131
3.504,4.7,25.0,1535,136
3.695,4.6,25.0,1555,141
3.921,4.5,25.0,1575,146
4.119,4.7,25.0,1595,151
4.335,4.8,25.0,1615,156
4.579,4.6,25.0,1627,159
4.754,4.9,25.0,1627,159
4.964,4.6,25.0,1627,159
5.216,4.6,25.0,1627,159
5.412,4.6,25.0,1627,159
5.626,4.8,25.0,1627,159
5.841,4.7,25.0,1627,159
