# Kp=? Ki=? Kd=?
time_s,current_alt_cm,target_alt_cm,pid_thr_ibus,pid_thr_0_255
0.125,5.8,5.9,1627,159
0.343,5.8,5.9,1208,53
0.561,5.9,5.9,1228,58
0.821,5.9,5.9,1246,62
1.006,5.9,5.9,1266,67
1.211,5.8,5.9,1288,73
1.424,5.8,5.9,1308,78
1.642,5.8,5.9,1330,84
1.871,5.8,5.9,1350,89
2.073,5.9,5.9,1370,94
2.315,5.8,5.9,1388,98
2.496,5.7,5.9,1408,104
2.715,5.9,5.9,1428,109
2.96,5.7,5.9,1448,114
3.192,5.7,5.9,1468,119
3.378,5.8,5.9,1486,123
3.577,5.7,5.9,1506,129
3.798,5.6,5.9,1526,134
4.024,5.8,5.9,1546,139
4.23,5.9,5.9,1566,144
4.421,5.9,5.9,1586,149
4.64,5.7,5.9,1606,154
4.879,5.6,5.9,1626,159
5.108,5.6,5.9,1627,159
5.283,5.7,5.9,1627,159
