time_s,current_alt_cm,target_alt_cm,pid_thr_ibus,pid_thr_0_255
0.122,7.0,7,,
0.416,6.4,7,1358,91
0.557,7.8,7,1388,98
0.775,13.7,7,1418,106
0.99,24.1,7,1448,114
1.231,32.0,7,1269,68
1.402,23.8,7,1278,70
1.643,12.8,7,1490,124
1.861,28.3,7,1498,126
2.057,49.1,7,1190,48
2.329,44.4,7,1100,25
2.559,19.6,7,1353,90
2.707,40.0,7,1609,155
2.937,48.2,7,1100,25
3.137,18.0,7,1264,67
3.354,8.8,7,1671,171
3.597,6.9,7,1532,135
3.78,6.8,7,1453,115
4.007,5.9,7,1427,108
4.202,6.1,7,1439,111
4.445,6.3,7,1425,108
4.627,5.9,7,1423,107
4.863,8.1,7,1431,109
5.122,8.3,7,1380,96
5.284,6.5,7,1418,106
5.521,5.9,7,1448,114
5.697,6.0,7,1429,109
5.912,5.9,7,1426,108
6.165,5.9,7,1427,108
6.362,5.9,7,1427,108
6.58,5.9,7,1429,109
6.793,6.0,7,1427,108
7.001,5.9,7,1427,108
7.196,5.9,7,1430,109
7.457,5.9,7,1427,108
7.688,6.1,7,1427,108
7.841,6.1,7,1425,108
8.093,6.0,7,1427,108
8.287,6.0,7,1429,109
8.498,6.1,7,1428,109
8.778,6.1,7,1427,108
8.938,6.0,7,1427,108
9.171,6.0,7,1430,109
9.352,6.1,7,1428,109
9.599,6.1,7,1428,109
9.788,6.2,7,1428,109
10.039,6.2,7,1426,108
10.24,6.1,7,1428,109
10.431,6.3,7,1427,108
10.672,6.2,7,1426,108
10.854,6.2,7,1427,108
11.072,6.2,7,1429,109
11.284,6.2,7,1427,108
11.508,6.2,7,1428,109
11.722,6.3,7,1428,109
11.928,6.3,7,1427,108
12.151,6.3,7,1429,109
12.354,6.2,7,1430,109
12.604,6.3,7,1428,109
12.867,6.2,7,1428,109
12.996,6.2,7,1430,109
13.204,6.3,7,1430,109
13.433,6.3,7,1428,109
