# Kp=1.2 Ki=0.05 Kd=2.0
time_s,current_alt_cm,target_alt_cm,pid_thr_ibus,pid_thr_0_255
0.2,5.9,25,,
0.387,5.9,25,1210,53
0.615,5.7,25,1230,58
0.872,5.8,25,1250,63
1.034,5.8,25,1270,68
1.304,5.4,25,1288,73
1.482,5.8,25,1310,79
1.674,6.1,25,1328,83
1.935,6.9,25,1348,88
2.112,10.0,25,1368,93
2.316,16.2,25,1386,98
2.535,23.2,25,1362,92
2.753,24.4,25,1343,87
2.957,18.8,25,1353,90
3.168,13.0,25,1396,100
3.382,15.8,25,1435,110
3.636,27.2,25,1435,110
3.814,37.2,25,1360,91
4.069,34.5,25,1312,79
4.284,17.6,25,1317,80
4.474,10.2,25,1408,104
4.672,7.9,25,1417,106
4.888,7.7,25,1497,126
5.164,5.9,25,1557,142
5.375,5.8,25,1597,152
5.581,5.7,25,1636,162
5.788,5.7,25,1636,162
5.995,5.7,25,1636,162
6.185,5.8,25,1636,162
6.442,5.7,25,1636,162
6.62,5.9,25,1636,162
6.858,5.8,25,1636,162
7.035,5.9,25,1636,162
7.259,6.0,25,1636,162
7.479,6.0,25,1636,162
7.74,5.9,25,1636,162
7.906,5.6,25,1636,162
8.118,5.8,25,1636,162
8.312,5.6,25,1636,162
8.528,5.8,25,1636,162
8.743,6.0,25,1636,162
8.981,5.7,25,1636,162
9.185,5.9,25,1636,162
9.424,5.8,25,1636,162
9.608,5.7,25,1636,162
9.836,5.8,25,1636,162
10.037,5.7,25,1636,162
10.285,5.7,25,1636,162
10.491,5.9,25,1636,162
10.678,6.0,25,1636,162
10.893,5.9,25,1636,162
11.098,5.7,25,1636,162
11.316,5.8,25,1636,162
11.633,5.8,25,1636,162
11.74,6.0,25,1636,162
11.962,5.8,25,1636,162
12.176,5.7,25,1636,162
12.388,5.8,25,1636,162
12.626,5.8,25,1636,162
12.833,5.6,25,1636,162
13.051,5.7,25,1636,162
13.244,5.9,25,1636,162
13.514,6.0,25,1636,162
13.666,5.9,25,1636,162
13.873,5.8,25,1636,162
14.108,5.9,25,1636,162
14.328,5.9,15,1636,162
14.542,5.8,5,1636,162
14.759,5.7,5,1636,162
14.969,5.9,5,1636,162
15.178,6.0,5,1636,162
15.448,5.8,5,1636,162
15.643,5.8,5,1636,162
