# Kp=1.2 Ki=0.05 Kd=2.0
time_s,current_alt_cm,target_alt_cm,pid_thr_ibus,pid_thr_0_255
0.012,5.9,25,,
0.229,6.1,25,,
0.462,6.0,25,1216,55
0.671,6.1,25,1236,60
0.88,6.1,25,1256,65
1.135,5.8,25,1276,70
1.299,5.9,25,1296,75
1.519,6.0,25,1316,80
1.729,5.9,25,1336,85
1.953,6.3,25,1356,90
2.174,8.7,25,1376,95
2.379,13.6,25,1396,100
2.636,21.8,25,1416,106
2.829,31.3,25,1422,107
3.034,36.7,25,1401,102
3.248,37.7,25,1406,103
3.476,35.4,25,1429,109
3.685,31.3,25,1432,110
3.883,25.6,25,1420,107
4.137,22.2,25,1454,115
4.324,21.5,25,1404,103
4.536,21.7,25,1410,104
4.786,23.7,25,1403,102
4.97,25.0,25,1425,108
5.224,26.2,35,1411,104
5.427,26.1,35,1418,106
5.618,26.1,35,1432,110
5.843,26.6,45,1425,108
6.067,26.7,45,1426,108
6.274,28.4,45,1432,110
6.486,29.2,45,1428,109
6.722,30.4,45,1429,109
6.905,32.3,45,1442,112
7.127,32.1,45,1446,113
7.376,32.9,45,1444,113
7.554,33.7,55,1450,114
7.782,33.2,55,1437,111
7.988,32.7,55,1449,114
8.207,33.3,55,1459,117
8.42,35.4,55,1458,116
8.633,37.2,55,1443,112
8.883,38.9,55,1454,115
9.056,40.8,55,1463,118
9.29,43.1,60,1433,110
9.497,44.7,60,1451,115
9.704,47.8,60,1471,120
9.947,51.7,60,1467,119
10.148,55.5,60,1440,112
10.384,56.7,60,1440,112
10.616,59.5,60,1458,116
10.796,60.2,60,1448,114
11.002,61.3,60,1458,116
11.23,61.0,60,1456,116
11.481,61.0,60,1439,111
11.66,58.8,60,1452,115
11.894,55.9,60,1472,120
12.083,53.5,60,1459,117
12.309,53.4,60,1481,122
12.567,53.9,60,1461,117
12.739,55.1,60,1459,117
12.967,54.1,60,1439,111
13.182,52.7,60,1481,122
13.393,53.7,60,1481,122
13.615,55.5,60,1439,111
13.839,56.7,60,1467,119
14.032,57.8,60,1469,119
14.25,58.4,60,1449,114
14.521,59.2,60,1464,118
14.723,61.2,60,1445,113
14.901,58.4,60,1449,114
15.158,58.6,60,1461,117
15.338,56.4,60,1442,112
15.559,54.8,60,1469,119
15.787,53.0,60,1477,121
15.983,53.9,60,1465,118
16.207,54.1,60,1451,115
16.41,56.2,60,1467,119
16.672,58.1,60,1460,117
16.86,59.3,60,1450,114
17.099,62.1,60,1501,127
17.291,66.9,60,1461,117
17.513,67.5,60,1416,106
17.734,66.2,60,1453,115
17.93,65.3,60,1456,116
18.16,62.5,60,1468,119
18.383,61.3,60,1438,111
18.582,59.2,60,1456,116
18.839,56.8,60,1456,116
18.993,54.4,60,1456,116
19.249,53.2,60,1459,117
19.504,52.2,60,1459,117
19.706,53.0,60,1464,118
19.938,55.7,60,1465,118
20.122,58.4,60,1461,117
20.335,60.7,60,1452,115
20.548,62.2,60,1477,121
20.801,67.0,60,1463,118
20.996,69.3,60,1449,114
21.179,69.0,60,1434,110
21.415,67.7,60,1454,115
21.605,65.6,60,1474,120
21.819,65.2,60,1450,114
22.044,63.0,60,1449,114
22.279,61.1,60,1459,117
22.483,58.3,60,1439,111
22.72,56.3,60,1459,117
22.921,52.7,60,1455,116
23.111,49.8,60,1475,121
23.338,47.4,60,1453,115
23.546,45.6,60,1470,119
23.755,45.0,60,1469,119
24.009,44.8,60,1470,119
24.203,44.7,60,1490,124
24.422,45.5,60,1478,121
24.638,48.4,60,1501,127
24.865,53.1,60,1486,123
25.112,56.7,60,1463,118
25.275,60.2,60,1470,119
25.497,64.1,60,1475,121
25.768,68.6,60,1467,119
25.958,71.2,60,1447,113
26.14,75.1,60,1448,114
26.369,75.2,60,1428,109
26.579,72.1,60,1444,113
26.769,69.8,60,1449,114
26.998,66.9,60,1465,118
27.216,62.7,60,1468,119
27.426,58.8,60,1469,119
27.703,56.1,60,1467,119
27.86,51.9,60,1476,121
28.079,44.1,60,1467,119
28.318,38.8,60,1496,126
28.519,38.8,60,1476,121
28.746,38.8,60,1472,120
28.942,38.8,60,1478,121
29.181,38.8,60,1482,122
29.361,38.8,60,1486,123
29.59,38.8,60,1490,124
29.82,38.8,60,1494,125
30.011,38.8,60,1498,126
30.257,38.8,60,1502,128
30.442,38.8,60,1506,129
30.658,38.8,60,1510,130
30.906,38.8,60,1514,131
31.1,38.8,60,1517,131
31.355,38.8,60,1518,132
31.509,38.8,60,1518,132
31.744,38.8,60,1518,132
31.942,38.8,60,1518,132
32.155,38.8,60,1518,132
32.411,38.8,60,1518,132
32.606,38.8,60,1518,132
32.814,40.4,60,1518,132
33.014,40.4,60,1528,134
