time_s,current_alt_cm,target_alt_cm,pid_thr_ibus,pid_thr_0_255
0.188,5.5,6,,
0.4,5.6,6,1228,58
0.619,5.6,6,1235,59
0.816,5.7,6,1236,60
1.029,5.7,6,1235,59
1.269,5.7,6,1235,59
1.458,5.8,6,1236,60
1.689,5.7,6,1235,59
1.895,5.7,6,1236,60
2.116,5.6,6,1236,60
2.315,5.6,6,1237,60
2.531,5.6,6,1237,60
2.758,5.5,6,1237,60
2.962,5.6,6,1237,60
3.182,5.5,6,1236,60
3.393,5.6,6,1237,60
3.619,5.6,6,1236,60
3.837,5.8,6,1236,60
4.048,5.8,6,1235,59
4.248,5.9,6,1235,59
4.466,6.0,6,1235,59
4.692,6.2,6,1235,59
4.883,6.1,6,1234,59
5.099,6.1,6,1235,59
5.331,6.0,6,1235,59
5.525,5.9,6,1235,59
5.767,5.6,6,1236,60
5.964,5.7,6,1239,60
6.171,5.9,6,1235,59
6.383,6.0,6,1235,59
6.608,5.8,6,1234,59
6.842,5.7,6,1237,60
7.067,5.7,16,1237,60
7.281,8.0,16,1371,94
7.458,6.7,16,1260,66
7.69,6.3,16,1281,71
7.91,6.0,16,1279,71
8.105,6.1,16,1281,71
8.387,6.1,16,1279,71
8.546,5.9,16,1280,71
8.763,6.1,16,1282,71
8.997,6.2,16,1282,71
9.191,5.9,16,1282,71
9.408,5.9,16,1286,72
9.599,5.7,16,1286,72
9.856,5.9,16,1289,73
10.072,6.2,16,1287,73
10.273,6.2,16,1287,73
10.484,6.1,16,1289,73
10.691,5.9,16,1293,74
10.96,5.7,16,1293,74
11.1,5.7,16,1296,75
11.328,5.7,16,1297,75
11.529,5.7,16,1296,75
11.756,5.9,16,1298,75
11.99,5.9,16,1297,75
12.173,5.9,16,1299,76
12.404,6.0,16,1300,76
12.609,6.0,16,1300,76
12.827,6.0,16,1302,77
13.084,5.7,16,1303,77
13.253,5.7,16,1308,78
13.494,5.8,16,1307,78
13.692,5.9,16,1306,78
13.922,5.7,16,1309,78
14.139,5.6,16,1311,79
14.322,5.7,16,1312,79
14.58,5.8,16,1312,79
14.757,5.8,16,1312,79
15.008,5.7,16,1314,80
15.204,5.8,16,1315,80
15.403,5.7,16,1316,80
15.646,5.8,16,1318,81
15.833,5.8,16,1318,81
