# Kp=1.2 Ki=0.05 Kd=2.0
time_s,current_alt_cm,target_alt_cm,pid_thr_ibus,pid_thr_0_255
0.218,88.8,60,1100,25
0.406,88.8,60,1060,15
0.634,88.8,60,1100,25
0.831,88.8,60,1100,25
1.042,88.8,60,1100,25
1.255,88.8,50,1100,25
1.49,88.8,40,1100,25
1.708,88.8,40,1100,25
1.915,88.8,30,1100,25
2.182,88.8,30,1100,25
2.333,88.8,30,1100,25
2.576,88.8,20,1100,25
2.787,88.8,20,1100,25
3.021,88.8,20,1100,25
3.235,88.8,20,1100,25
3.42,88.8,20,1100,25
3.684,88.8,20,1100,25
3.884,88.8,20,1100,25
4.076,88.8,20,1100,25
4.315,88.8,20,1100,25
4.5,88.8,20,1100,25
4.75,88.8,20,1100,25
4.944,88.8,20,1100,25
5.145,88.8,20,1100,25
5.377,88.8,20,1100,25
5.571,88.8,20,1100,25
5.813,88.8,20,1100,25
6.03,88.8,20,1100,25
6.249,88.8,20,1100,25
6.437,88.8,20,1100,25
6.652,88.8,20,1100,25
6.922,88.8,20,1100,25
7.078,88.8,20,1100,25
7.334,88.8,20,1100,25
7.517,88.8,20,1100,25
7.735,88.8,20,1100,25
7.991,88.8,20,1100,25
8.158,88.8,20,1100,25
8.391,88.8,20,1100,25
8.609,88.8,20,1100,25
8.829,88.8,20,1100,25
9.052,88.8,20,1100,25
9.256,88.8,20,1100,25
9.464,88.8,20,1100,25
9.672,88.8,20,1100,25
9.917,88.8,20,1100,25
10.121,88.8,20,1100,25
10.334,88.8,20,1100,25
10.551,88.8,20,1100,25
10.757,88.8,20,1100,25
10.991,88.8,20,1100,25
11.21,88.8,20,1100,25
11.426,88.8,20,1100,25
