# Kp=0.80 Ki=1.20 Kd=0.0
time_s,current_alt_cm,target_alt_cm,vel_cmd_cm_s,pid_thr_ibus,pid_thr_0_255
0.105,17.0,0,-0.0,,
0.315,16.9,0,-0.0,1275,70
0.514,16.9,0,-0.0,1395,100
0.717,16.9,0,-0.0,1500,127
0.908,16.9,0,-0.0,1500,127
1.109,17.0,0,-0.0,1500,127
1.303,17.0,0,-0.0,1500,127
1.513,17.0,0,-0.0,1500,127
1.702,17.0,0,-0.0,1500,127
1.914,17.0,0,-0.0,1500,127
2.107,17.0,0,-0.0,1500,127
2.32,17.0,0,-0.0,1500,127
2.519,17.1,0,-0.0,1500,127
2.721,16.9,0,-0.0,1500,127
2.927,16.8,0,-0.0,1500,127
3.129,17.0,0,-0.0,1500,127
3.332,16.8,0,-0.0,1500,127
3.543,17.0,0,-0.0,1500,127
3.72,16.9,0,-0.0,1500,127
3.921,16.8,0,-0.0,1500,127
4.134,17.1,0,-0.0,1500,127
4.325,16.9,0,-0.0,1500,127
4.546,17.0,0,-0.0,1500,127
4.726,17.1,0,-0.0,1500,127
4.928,16.9,0,-0.0,1500,127
5.121,17.0,0,-0.0,1500,127
