# Kp=0.80 Ki=1.20 Kd=0.0
time_s,current_alt_cm,target_alt_cm,vel_cmd_cm_s,pid_thr_ibus,pid_thr_0_255
0.196,0.3,0,-0.0,1542,138
0.402,0.3,0,-0.0,1356,90
0.596,0.3,0,-0.0,1356,90
0.817,0.3,0,-0.0,1356,90
1.001,0.3,0,-0.0,1356,90
1.194,0.2,0,3.06,1356,90
1.392,0.2,0,3.53,1358,91
1.605,0.2,0,4.47,1360,91
1.814,0.3,0,4.94,1361,92
1.999,0.4,0,5.88,1363,92
2.2,0.3,0,6.82,1364,92
2.393,0.3,0,7.29,1366,93
2.596,0.3,0,7.77,1368,93
2.796,0.3,0,8.71,1371,94
2.998,0.3,0,11.53,1374,95
3.201,0.2,0,12.0,1379,96
3.393,0.2,0,12.47,1382,97
3.605,0.3,0,13.41,1385,98
3.804,0.3,0,15.77,1388,98
4.014,0.4,0,18.12,1393,100
4.221,0.4,0,18.59,1399,101
4.436,0.2,0,18.59,1406,103
4.626,0.3,0,19.06,1411,104
4.827,0.3,0,24.24,1414,105
5.02,0.3,0,25.65,1423,107
5.225,0.2,0,26.12,1431,109
5.439,0.2,0,27.06,1438,111
5.637,0.2,0,27.06,1445,113
5.836,0.3,0,27.06,1452,115
6.019,0.3,0,27.06,1458,116
6.219,0.4,0,4.0,1464,118
6.432,0.3,0,-0.0,1469,119
6.634,0.3,0,-0.0,1450,114
6.825,0.3,0,-0.0,1450,114
7.046,0.2,0,-0.0,1450,114
7.227,0.2,0,-0.0,1450,114
7.431,0.4,0,-0.0,1450,114
7.636,0.2,0,-0.0,1449,114
7.843,0.2,0,-0.0,1450,114
8.045,0.3,0,-0.0,1450,114
8.23,0.3,0,5.41,1449,114
8.429,0.3,0,24.71,1453,115
8.63,0.2,0,32.71,1469,119
8.834,0.3,0,33.65,1484,123
9.032,0.2,0,34.59,1494,125
9.241,0.2,0,35.06,1505,128
9.433,0.3,0,34.12,1512,130
9.638,0.2,0,-0.0,1520,132
9.846,0.3,0,-0.0,1495,126
10.043,0.3,0,-0.0,1495,126
10.264,0.3,0,-0.0,1495,126
10.459,0.3,0,-0.0,1495,126
10.658,0.3,0,-0.0,1495,126
10.866,0.3,0,21.88,1495,126
11.053,0.3,0,28.0,1515,131
11.268,0.2,0,28.0,1526,134
11.466,0.3,0,28.0,1533,135
11.652,0.2,0,-0.0,1539,137
11.857,0.3,0,-0.0,1509,129
12.068,0.3,0,-0.0,1508,129
12.253,0.3,0,-0.0,1508,129
12.461,0.3,0,-0.0,1509,129
12.662,0.2,0,4.0,1508,129
12.854,0.3,0,5.41,1511,130
13.054,0.3,0,5.88,1514,131
13.253,0.3,0,5.88,1516,131
13.464,0.3,0,5.88,1517,131
13.663,0.3,0,5.88,1519,132
13.873,0.3,0,5.88,1520,132
14.068,0.2,0,5.88,1521,132
14.281,0.2,0,6.35,1523,133
14.47,0.3,0,8.71,1525,133
14.666,0.2,0,10.59,1528,134
14.865,0.3,0,12.0,1532,135
15.067,0.3,0,12.47,1536,136
15.272,0.3,0,12.47,1539,137
15.475,0.3,0,13.88,1543,138
15.677,0.3,0,15.29,1532,135
15.871,0.3,0,15.29,1536,136
16.094,0.3,0,16.24,1539,137
16.28,0.3,0,17.65,1530,135
16.474,0.3,0,19.53,1536,136
16.703,0.3,0,22.82,1541,137
16.905,0.3,0,29.41,1534,136
17.131,0.3,0,52.0,1530,135
17.313,0.2,0,60.0,1542,138
17.523,0.3,0,60.0,1539,137
17.727,0.4,0,60.0,1539,137
17.925,0.4,0,60.0,1540,137
18.129,0.3,0,60.0,1541,137
18.319,0.3,0,60.0,1544,138
18.514,0.3,0,60.0,1532,135
18.72,0.3,0,60.0,1534,136
18.924,0.3,0,60.0,1536,136
19.129,0.3,0,60.0,1536,136
19.349,0.3,0,60.0,1540,137
19.532,0.2,0,58.59,1541,137
19.754,0.3,0,12.94,1542,138
19.936,0.3,0,3.53,1526,134
20.139,0.3,0,3.53,1509,129
20.349,0.2,0,3.53,1510,130
20.562,0.3,0,3.53,1511,130
20.749,0.3,0,7.77,1511,130
20.949,0.3,0,38.35,1516,131
21.189,0.3,0,39.29,1531,135
21.375,0.3,0,39.29,1544,138
21.589,0.3,0,39.29,1540,137
21.796,0.2,0,39.29,1536,136
22.033,0.2,0,39.29,1546,139
22.228,0.2,0,39.29,1543,138
22.439,0.2,0,39.29,1538,137
22.66,0.3,0,39.29,1534,136
22.851,0.3,0,39.29,1543,138
23.054,0.3,0,39.29,1539,137
23.244,0.2,0,39.29,1533,135
23.454,0.3,0,39.29,1543,138
23.643,0.2,0,23.77,1538,137
23.84,0.2,0,5.41,1525,133
24.045,0.3,0,4.47,1510,130
24.251,0.2,0,4.47,1509,129
24.434,0.2,0,4.47,1511,130
24.677,0.3,0,4.47,1512,130
24.853,0.3,0,4.47,1512,130
25.055,0.2,0,-0.0,1513,130
25.254,0.3,0,12.47,1511,130
25.455,0.3,0,27.06,1522,133
25.659,0.2,0,60.0,1533,135
25.863,0.3,0,60.0,1536,136
26.073,0.2,0,60.0,1536,136
26.276,0.2,0,60.0,1541,137
26.473,0.2,0,60.0,1543,138
26.688,0.2,0,60.0,1544,138
26.879,0.3,0,60.0,1533,135
27.097,0.3,0,60.0,1535,136
27.289,0.3,0,60.0,1537,136
27.499,0.3,0,60.0,1540,137
27.698,0.4,0,54.82,1542,138
27.904,0.2,0,3.06,1539,137
28.108,0.2,0,3.06,1505,128
28.293,0.3,0,3.06,1504,128
28.496,0.3,0,3.06,1505,128
