# Kp=? Ki=? Kd=?
time_s,current_alt_cm,target_alt_cm,vel_cmd_cm_s,pid_thr_ibus,pid_thr_0_255
0.18,24.6,0,-0.0,1501,127
0.357,24.5,0,-0.0,1428,109
0.573,22.1,0,-0.0,1431,109
0.832,20.0,0,3.53,1441,112
1.023,19.7,0,4.0,1446,113
1.245,21.8,0,4.0,1440,112
1.447,24.6,0,8.71,1433,110
1.662,25.6,0,39.29,1429,109
1.881,27.1,0,47.29,1468,119
2.097,29.7,0,38.82,1480,122
2.34,35.6,0,6.82,1483,123
2.522,38.7,0,24.24,1455,116
2.77,41.6,0,46.82,1452,115
2.983,36.4,0,48.71,1481,122
3.163,37.5,0,48.71,1529,134
3.404,37.8,0,19.53,1523,133
3.605,44.5,0,16.24,1517,131
3.826,46.7,0,38.82,1491,125
4.037,49.8,0,38.35,1498,126
4.255,52.6,0,38.35,1527,134
4.506,57.1,0,38.35,1522,133
4.732,64.0,0,37.88,1530,135
4.917,67.5,0,36.47,1534,136
5.121,79.7,0,36.47,1504,128
5.332,72.5,0,-0.0,1500,127
5.547,95.5,0,-0.0,1555,141
5.772,105.2,0,-0.0,1461,117
5.99,109.8,0,-0.0,1473,120
6.195,115.0,0,-0.0,1478,121
6.407,112.7,0,-0.0,1475,121
6.633,104.0,0,-0.0,1465,118
6.853,102.6,0,-0.0,1496,126
7.055,96.5,0,-0.0,1504,128
7.286,88.6,0,-0.0,1511,130
7.49,81.8,0,-0.0,1508,129
7.707,30.3,0,-0.0,1508,129
7.921,30.5,0,-0.0,1422,107
8.153,25.4,0,-0.0,1430,109
8.376,18.5,0,-0.0,1452,115
8.601,17.4,0,-0.0,1465,118
8.782,19.2,0,-0.0,1446,113
9.008,19.7,0,-0.0,1437,111
9.252,20.9,0,-0.0,1439,111
9.43,23.5,0,-0.0,1433,110
9.7,19.0,0,-0.0,1427,108
9.874,28.8,0,-0.0,1465,118
10.075,74.5,0,-0.0,1411,104
10.304,73.6,0,-0.0,1450,114
10.505,20.9,0,-0.0,1436,111
10.778,21.3,0,-20.94,1428,109
11.0,21.9,0,-60.0,1430,109
11.188,16.8,0,-60.0,1397,101
11.374,15.8,0,-60.0,1389,99
11.625,16.0,0,-60.0,1351,89
11.82,13.1,0,-60.0,1341,86
12.022,13.4,0,-60.0,1337,85
12.24,13.6,0,-60.0,1312,79
12.447,13.7,0,-60.0,1296,75
12.672,13.7,0,-60.0,1281,71
