# Kp=? Ki=? Kd=?
time_s,current_alt_cm,target_alt_cm,pid_thr_ibus,pid_thr_0_255
0.129,39.1,0,,
0.305,39.1,0,1000,0
0.517,39.1,0,1100,25
0.758,39.1,0,1100,25
0.981,39.1,0,1100,25
1.177,39.1,0,1100,25
1.435,39.1,0,1100,25
1.61,39.1,0,1100,25
1.839,39.1,0,1100,25
2.05,39.1,0,1100,25
2.272,39.1,0,1100,25
2.49,39.1,0,1100,25
2.685,39.1,0,1100,25
2.905,39.1,0,1100,25
3.119,39.1,0,1100,25
3.345,39.1,0,1100,25
3.557,39.1,0,1100,25
3.794,39.1,0,1100,25
4.01,39.1,0,1100,25
4.209,39.1,0,1100,25
4.432,39.1,0,1100,25
4.648,39.1,0,1100,25
4.835,39.1,0,1100,25
5.049,39.1,0,1100,25
5.277,39.1,0,1100,25
5.516,39.1,0,1100,25
5.735,39.1,0,1100,25
5.918,39.1,0,1100,25
6.15,39.1,0,1100,25
6.353,39.1,0,1100,25
6.613,39.1,0,1100,25
6.779,39.1,0,1100,25
7.001,39.1,0,1100,25
7.214,39.1,0,1100,25
7.429,39.1,0,1100,25
7.663,39.1,0,1100,25
7.851,39.1,0,1100,25
8.072,39.1,0,1100,25
8.311,39.1,0,1100,25
8.487,39.1,0,1100,25
8.758,39.1,0,1100,25
8.937,39.1,0,1100,25
9.145,39.1,0,1100,25
9.353,39.1,0,1100,25
9.566,39.1,0,1100,25
9.789,39.1,0,1100,25
9.996,39.1,0,1100,25
