# Kp=0.80 Ki=1.20 Kd=0.0
time_s,current_alt_cm,target_alt_cm,vel_cmd_cm_s,pid_thr_ibus,pid_thr_0_255
0.002,6.2,0,3.06,1611,155
0.181,6.2,0,3.06,1610,155
0.402,6.3,0,3.06,1611,155
0.606,6.2,0,3.06,1612,156
0.787,6.2,0,3.06,1613,156
1.001,6.4,0,3.06,1613,156
1.2,6.2,0,3.06,1613,156
1.406,6.1,0,3.06,1615,156
1.62,6.2,0,3.06,1616,157
1.796,6.3,0,3.06,1616,157
2.006,6.2,0,3.06,1617,157
2.199,6.2,0,3.06,1618,157
2.409,6.2,0,3.06,1618,157
2.64,6.2,0,3.06,1619,157
2.802,6.3,0,3.06,1620,158
3.002,6.2,0,3.06,1620,158
3.201,6.2,0,3.06,1622,158
