# Kp=? Ki=? Kd=?
time_s,current_alt_cm,target_alt_cm,vel_cmd_cm_s,pid_thr_ibus,pid_thr_0_255
0.143,12.1,0,-0.0,1488,124
0.339,11.9,0,-0.0,1250,63
0.554,12.2,0,-0.0,1251,64
0.786,11.9,0,-0.0,1249,63
0.995,11.9,0,-0.0,1250,63
1.22,11.9,0,-0.0,1250,63
1.456,12.1,0,-0.0,1251,64
1.652,12.1,0,-0.0,1250,63
1.861,11.9,0,-0.0,1251,64
2.086,12.0,0,-0.0,1251,64
2.296,12.0,0,-0.0,1250,63
2.529,12.0,0,-0.0,1250,63
2.714,12.1,0,-0.0,1250,63
2.953,12.1,0,-0.0,1250,63
3.182,12.1,0,-0.0,1250,63
3.375,12.1,0,-0.0,1250,63
3.608,11.9,0,-0.0,1250,63
3.805,12.0,0,-0.0,1250,63
4.014,12.0,0,6.35,1250,63
4.259,12.0,0,9.18,1256,65
4.459,12.0,0,-0.0,1259,66
4.703,12.1,0,-0.0,1253,64
4.912,12.0,0,-0.0,1253,64
5.116,12.0,0,-0.0,1254,64
