# Kp=? Ki=? Kd=?
time_s,current_alt_cm,target_alt_cm,vel_cmd_cm_s,pid_thr_ibus,pid_thr_0_255
0.102,10.9,0,-0.0,1472,120
0.284,11.1,0,-0.0,1235,59
0.5,13.4,0,-0.0,1435,110
0.712,18.0,0,-0.0,1489,124
0.927,26.0,0,-0.0,1474,120
1.15,30.8,0,-0.0,1458,116
1.369,31.5,0,-0.0,1463,118
1.595,28.4,0,-0.0,1473,120
1.788,23.4,0,-0.0,1491,125
2.01,21.2,0,-0.0,1500,127
2.244,22.0,0,-0.0,1494,125
2.436,24.5,0,-0.0,1483,123
2.664,27.5,0,-0.0,1476,121
2.888,27.1,0,-0.0,1473,120
3.082,25.7,0,21.41,1480,122
3.325,24.4,0,42.59,1499,127
3.513,25.9,0,42.59,1523,133
3.742,30.0,0,42.59,1530,135
3.954,35.7,0,42.59,1528,134
4.18,40.1,0,42.59,1527,134
4.387,43.9,0,42.59,1536,136
4.609,48.5,0,44.0,1547,139
4.877,51.8,0,-0.0,1550,140
5.032,56.2,0,-0.0,1559,142
5.259,60.0,0,4.94,1519,132
5.462,62.1,0,38.82,1518,132
5.68,62.6,0,49.18,1546,139
5.91,64.2,0,49.18,1575,146
6.108,69.0,0,-0.0,1590,150
6.343,72.0,0,-0.0,1560,142
6.527,78.5,0,-0.0,1541,137
6.761,79.4,0,-0.0,1526,134
6.976,83.0,0,-0.0,1547,139
7.191,68.4,0,-0.0,1527,134
7.422,59.2,0,-0.0,1578,147
7.598,62.7,0,-4.94,1561,143
7.82,30.8,0,-41.65,1554,141
8.036,30.1,0,-17.18,1481,122
8.244,33.4,0,-0.0,1496,126
8.471,31.2,0,-0.0,1456,116
8.678,38.8,0,-0.0,1487,124
8.916,43.2,0,27.06,1493,125
9.127,73.0,0,60.0,1481,122
9.335,65.8,0,60.0,1574,146
