# Kp=? Ki=? Kd=?
time_s,current_alt_cm,target_alt_cm,vel_cmd_cm_s,pid_thr_ibus,pid_thr_0_255
0.113,12.0,0,-0.0,1400,102
0.328,11.9,0,-0.0,1283,72
0.557,12.0,0,-0.0,1400,102
0.784,12.1,0,-0.0,1400,102
1.002,12.2,0,-0.0,1399,101
1.205,12.0,0,-0.0,1399,101
1.433,12.3,0,-0.0,1400,102
1.628,12.1,0,-0.0,1400,102
1.853,12.2,0,-0.0,1400,102
2.102,12.1,0,-0.0,1400,102
2.277,12.1,0,-0.0,1400,102
2.522,12.1,0,5.41,1400,102
2.726,12.2,0,31.77,1400,102
2.922,12.1,0,38.35,1422,107
3.156,12.0,0,44.94,1439,111
3.37,12.1,0,44.94,1456,116
3.603,12.3,0,45.88,1467,119
3.781,13.1,0,54.35,1479,122
4.016,15.2,0,53.88,1497,126
4.226,18.9,0,53.41,1503,128
4.43,23.0,0,20.94,1507,129
4.647,26.4,0,7.29,1499,127
4.869,26.5,0,7.29,1479,122
5.096,22.8,0,18.12,1492,125
5.306,18.5,0,4.94,1518,132
5.517,16.7,0,-0.0,1532,135
5.727,18.8,0,-0.0,1510,130
5.94,21.8,0,-0.0,1496,126
6.178,22.4,0,-0.0,1492,125
6.374,22.4,0,-0.0,1497,126
6.611,20.7,0,-0.0,1498,126
6.829,19.2,0,4.94,1507,129
7.022,18.9,0,4.94,1510,130
7.27,20.2,0,4.94,1509,129
7.465,21.7,0,4.94,1503,128
