# Kp=? Ki=? Kd=?
time_s,current_alt_cm,target_alt_cm,pid_thr_ibus,pid_thr_0_255
0.109,10.2,0,1331,84
0.319,10.3,0,1251,64
0.557,10.3,0,1351,89
0.756,10.2,0,1400,102
0.966,10.3,0,1401,102
1.167,10.2,0,1401,102
1.397,10.3,0,1406,103
1.624,10.4,0,1413,105
1.833,10.3,0,1416,106
2.029,10.4,0,1421,107
2.235,10.3,0,1424,108
2.459,10.2,0,1429,109
2.68,10.3,0,1438,111
2.882,10.4,0,1445,113
3.127,10.3,0,1450,114
3.318,10.4,0,1458,116
3.547,10.2,0,1465,118
3.747,10.1,0,1473,120
3.974,10.2,0,1482,122
4.199,10.3,0,1491,125
4.388,10.2,0,1498,126
4.619,10.2,0,1506,129
4.826,10.3,0,1515,131
5.059,10.1,0,1494,125
5.248,10.3,0,1494,125
5.465,10.2,0,1493,125
5.733,10.1,0,1494,125
5.913,10.3,0,1494,125
6.11,10.3,0,1495,126
6.32,10.3,0,1495,126
6.539,10.1,0,1497,126
6.775,10.1,0,1499,127
6.966,10.3,0,1504,128
7.202,10.3,0,1503,128
7.395,10.2,0,1507,129
7.613,10.3,0,1510,130
7.835,10.3,0,1515,131
8.04,10.4,0,1521,132
8.285,10.3,0,1525,133
8.475,10.3,0,1532,135
8.688,10.1,0,1535,136
8.896,10.4,0,1543,138
9.117,10.3,0,1548,139
9.354,10.3,0,1555,141
9.55,10.3,0,1539,137
9.789,10.4,0,1539,137
9.978,10.1,0,1539,137
10.238,10.3,0,1541,137
10.483,10.1,0,1539,137
10.64,10.4,0,1541,137
10.903,10.3,0,1540,137
11.078,10.2,0,1542,138
11.296,10.3,0,1549,139
11.524,10.2,0,1550,140
11.733,10.3,0,1552,140
11.974,10.2,0,1549,139
12.153,10.3,0,1548,139
12.389,10.4,0,1547,139
12.601,10.3,0,1547,139
12.821,10.2,0,1547,139
13.027,10.3,0,1548,139
13.248,10.1,0,1548,139
13.457,10.3,0,1549,139
13.652,10.2,0,1547,139
13.886,10.2,0,1548,139
14.099,10.2,0,1548,139
14.296,15.2,0,1547,139
14.529,22.1,0,1526,134
14.751,28.5,0,1513,130
14.967,31.1,0,1506,129
15.163,31.2,0,1512,130
15.379,32.8,0,1523,133
15.61,31.6,0,1517,131
15.813,31.7,0,1526,134
16.037,31.0,0,1520,132
16.236,31.5,0,1525,133
16.444,32.0,0,1521,132
16.68,31.8,0,1519,132
16.887,30.4,0,1522,133
17.089,26.3,0,1529,134
17.309,17.2,0,1543,138
17.537,11.9,0,1554,141
17.779,10.6,0,1549,139
17.965,10.7,0,1539,137
18.204,11.2,0,1537,136
18.402,11.3,0,1533,135
18.618,11.0,0,1535,136
18.85,10.8,0,1537,136
19.055,10.4,0,1535,136
19.288,10.7,0,1537,136
19.499,10.4,0,1535,136
19.71,10.4,0,1537,136
19.919,10.1,0,1536,136
20.136,10.5,0,1538,137
20.365,10.4,0,1536,136
20.587,10.4,0,1536,136
20.795,10.3,0,1536,136
21.038,10.4,0,1536,136
21.223,10.5,0,1536,136
21.426,10.3,0,1535,136
21.68,14.6,0,1535,136
21.889,18.1,0,1515,131
22.075,15.3,0,1522,133
22.309,17.4,0,1535,136
22.51,17.8,0,1519,132
22.72,16.9,0,1530,135
22.965,17.6,0,1526,134
23.151,16.3,0,1521,132
23.36,16.6,0,1538,137
23.594,16.7,0,1527,134
23.793,17.9,0,1528,134
24.07,16.0,0,1527,134
24.239,16.1,0,1536,136
24.467,16.9,0,1526,134
24.674,16.0,0,1526,134
24.922,15.8,0,1535,136
25.092,16.0,0,1532,135
25.304,17.3,0,1529,134
25.535,16.2,0,1530,135
25.749,16.6,0,1530,135
