# Kp=? Ki=? Kd=?
time_s,current_alt_cm,target_alt_cm,pid_thr_ibus,pid_thr_0_255
0.098,11.6,0,1400,102
0.31,11.4,0,1372,94
0.554,11.5,0,1373,95
0.75,11.5,0,1372,94
0.954,11.7,0,1372,94
1.187,11.8,0,1372,94
1.401,11.6,0,1372,94
1.613,11.7,0,1382,97
1.825,11.7,0,1384,97
2.042,11.9,0,1397,101
2.282,11.8,0,1407,103
2.487,12.1,0,1432,110
2.695,12.3,0,1453,115
2.931,15.4,0,1470,119
3.116,19.4,0,1472,120
3.334,23.8,0,1474,120
3.592,27.1,0,1483,123
3.778,28.6,0,1497,126
3.978,30.0,0,1514,131
4.215,31.4,0,1478,121
4.419,30.6,0,1478,121
4.632,26.8,0,1487,124
4.864,23.7,0,1509,129
5.095,24.3,0,1524,133
5.272,28.3,0,1520,132
5.489,33.6,0,1515,131
5.703,37.2,0,1514,131
5.921,38.4,0,1526,134
6.134,38.4,0,1520,132
6.401,37.0,0,1527,134
6.559,34.5,0,1529,134
6.781,31.9,0,1522,133
6.991,31.6,0,1528,134
7.223,31.0,0,1527,134
7.426,32.5,0,1523,133
7.661,33.8,0,1521,132
7.865,35.5,0,1522,133
8.078,36.7,0,1525,133
8.333,36.3,0,1520,132
8.502,35.5,0,1521,132
8.721,34.3,0,1528,134
8.953,33.3,0,1526,134
9.183,32.7,0,1521,132
9.371,32.6,0,1529,134
9.587,34.0,0,1530,135
9.799,34.2,0,1488,124
10.017,31.4,0,1482,122
10.24,25.0,0,1494,125
10.476,21.0,0,1530,135
10.667,22.7,0,1528,134
10.875,28.9,0,1519,132
11.091,34.7,0,1509,129
11.34,38.8,0,1510,130
11.532,39.7,0,1523,133
11.765,39.1,0,1529,134
11.98,36.7,0,1522,133
12.204,32.7,0,1523,133
12.415,28.9,0,1528,134
12.63,27.4,0,1528,134
12.84,27.1,0,1529,134
13.151,28.7,0,1520,132
13.265,30.9,0,1528,134
13.473,34.9,0,1525,133
13.687,36.6,0,1521,132
13.902,38.7,0,1529,134
14.179,40.1,0,1521,132
14.343,39.1,0,1525,133
14.569,36.4,0,1526,134
14.777,33.8,0,1529,134
15.039,31.2,0,1523,133
15.218,30.5,0,1509,129
15.428,29.0,0,1488,124
15.655,26.4,0,1491,125
15.855,23.1,0,1497,126
16.08,21.8,0,1502,128
16.293,22.4,0,1497,126
16.493,24.3,0,1488,124
16.729,24.4,0,1467,119
16.959,23.3,0,1482,122
17.142,21.0,0,1475,121
17.396,19.0,0,1492,125
17.602,18.6,0,1492,125
17.825,20.3,0,1488,124
18.015,22.2,0,1480,122
18.225,23.0,0,1476,121
18.421,22.6,0,1480,122
18.641,22.1,0,1502,128
18.869,24.0,0,1520,132
19.084,28.9,0,1525,133
19.308,34.7,0,1524,133
19.5,39.9,0,1516,131
19.727,42.4,0,1527,134
19.927,42.4,0,1527,134
20.14,39.0,0,1526,134
20.391,35.6,0,1527,134
20.581,30.7,0,1529,134
20.814,27.0,0,1524,133
21.012,25.2,0,1530,135
21.232,26.2,0,1521,132
21.463,28.5,0,1527,134
21.655,31.2,0,1526,134
21.914,35.1,0,1523,133
22.085,37.6,0,1525,133
22.314,38.1,0,1526,134
22.541,37.3,0,1527,134
22.751,34.8,0,1528,134
22.956,33.1,0,1524,133
23.209,31.3,0,1504,128
23.412,28.4,0,1498,126
23.587,25.4,0,1506,129
23.8,23.4,0,1510,130
24.031,24.3,0,1508,129
24.237,24.6,0,1499,127
24.458,24.7,0,1500,127
24.681,25.7,0,1500,127
24.879,25.8,0,1496,126
25.103,25.4,0,1497,126
25.326,25.4,0,1501,127
25.587,24.6,0,1498,126
25.764,24.2,0,1501,127
25.986,23.6,0,1502,128
26.183,24.3,0,1504,128
26.42,24.4,0,1497,126
26.623,25.1,0,1500,127
26.831,24.4,0,1496,126
27.122,23.9,0,1502,128
27.272,24.0,0,1522,133
27.519,26.3,0,1528,134
27.721,30.3,0,1523,133
27.924,33.5,0,1518,132
28.154,36.3,0,1522,133
28.403,37.3,0,1524,133
28.58,36.1,0,1523,133
28.804,33.8,0,1527,134
29.001,31.0,0,1529,134
29.224,29.0,0,1529,134
29.441,28.5,0,1523,133
29.659,28.5,0,1523,133
29.858,29.9,0,1529,134
30.066,31.2,0,1526,134
30.315,33.5,0,1520,132
30.521,35.4,0,1527,134
30.738,35.7,0,1524,133
30.954,35.0,0,1522,133
31.171,32.6,0,1523,133
31.403,30.2,0,1524,133
31.593,28.1,0,1523,133
31.825,27.5,0,1528,134
