# Kp=? Ki=? Kd=?
time_s,current_alt_cm,target_alt_cm,pid_thr_ibus,pid_thr_0_255
0.058,12.4,0,,
0.26,12.5,0,,
0.476,12.1,0,1392,99
0.692,11.9,0,1392,99
0.925,11.8,0,1392,99
1.14,12.1,0,1392,99
1.352,12.2,0,1392,99
1.573,12.3,0,1392,99
1.781,13.0,0,1392,99
2.003,12.6,0,1390,99
2.202,13.1,0,1392,99
2.42,12.9,0,1390,99
2.637,12.3,0,1392,99
2.859,12.5,0,1393,100
3.064,12.6,0,1392,99
3.278,12.2,0,1394,100
3.494,12.6,0,1400,102
3.702,13.6,0,1399,101
3.92,15.2,0,1398,101
4.133,15.6,0,1398,101
4.342,15.4,0,1403,102
4.57,15.8,0,1414,105
4.781,17.4,0,1420,107
4.997,20.1,0,1422,107
5.2,22.2,0,1419,106
5.428,23.5,0,1405,103
5.67,22.4,0,1408,104
5.848,19.2,0,1417,106
6.07,16.7,0,1425,108
6.286,16.0,0,1428,109
6.483,17.0,0,1422,107
6.708,17.8,0,1416,106
6.937,19.1,0,1415,105
7.168,20.4,0,1412,105
7.344,19.0,0,1412,105
7.609,18.2,0,1419,106
7.779,18.0,0,1421,107
7.995,18.4,0,1418,106
8.216,18.8,0,1415,105
8.434,19.1,0,1418,106
8.646,19.4,0,1432,110
8.867,21.3,0,1443,112
9.081,25.0,0,1434,110
9.285,26.1,0,1423,107
9.527,24.9,0,1436,111
9.719,23.7,0,1454,115
9.94,24.3,0,1461,117
10.18,26.5,0,1454,115
10.36,29.9,0,1450,114
10.591,31.5,0,1450,114
10.826,32.4,0,1455,116
11.031,33.7,0,1466,118
11.219,35.3,0,1472,120
11.456,36.3,0,1474,120
11.678,35.7,0,1472,120
11.887,35.2,0,1469,119
12.08,35.3,0,1468,119
12.31,33.3,0,1469,119
12.514,28.7,0,1478,121
12.757,27.0,0,1491,125
12.942,30.3,0,1482,122
13.16,35.0,0,1465,118
13.418,38.4,0,1455,116
13.606,38.6,0,1455,116
13.84,36.3,0,1461,117
14.022,33.1,0,1475,121
14.254,31.2,0,1479,122
14.459,31.3,0,1477,121
14.713,32.8,0,1472,120
14.917,35.2,0,1465,118
15.124,35.7,0,1460,117
15.392,34.2,0,1466,118
15.532,32.8,0,1475,121
15.751,32.0,0,1475,121
16.015,33.1,0,1474,120
16.209,34.7,0,1469,119
