# Kp=? Ki=? Kd=?
time_s,current_alt_cm,target_alt_cm,vel_cmd_cm_s,pid_thr_ibus,pid_thr_0_255
0.241,13.1,0,-58.12,1546,139
0.407,13.0,0,-0.0,1531,135
0.635,13.1,0,-0.0,1571,145
0.856,13.2,0,-0.0,1570,145
1.061,13.1,0,-0.0,1570,145
1.281,13.1,0,-0.0,1570,145
1.488,12.9,0,-0.0,1569,145
1.741,13.0,0,-0.0,1571,145
1.948,13.1,0,-0.0,1570,145
2.179,13.1,0,-0.0,1570,145
2.385,13.0,0,-0.0,1569,145
2.577,13.1,0,-0.0,1570,145
2.816,13.1,0,-0.0,1569,145
3.01,13.1,0,-0.0,1570,145
3.254,13.2,0,-0.0,1570,145
3.439,13.2,0,-0.0,1569,145
3.659,13.2,0,-0.0,1569,145
3.89,13.3,0,-0.0,1570,145
4.087,13.1,0,-0.0,1569,145
4.328,13.1,0,-0.0,1570,145
4.534,13.2,0,-0.0,1570,145
4.75,13.1,0,-0.0,1570,145
4.973,13.0,0,-0.0,1570,145
5.179,13.2,0,-0.0,1571,145
5.418,13.3,0,-0.0,1570,145
5.595,13.1,0,-17.65,1569,145
5.837,13.2,0,-60.0,1555,141
6.045,13.2,0,-60.0,1508,129
6.254,13.4,0,-60.0,1494,125
6.474,13.1,0,-60.0,1477,121
6.681,13.2,0,-60.0,1463,118
6.912,13.2,0,-60.0,1447,113
7.119,13.4,0,-60.0,1432,110
7.329,13.0,0,-0.0,1416,106
7.594,13.1,0,-0.0,1406,103
7.759,13.2,0,-0.0,1446,113
8.003,13.2,0,-0.0,1445,113
8.194,13.1,0,-0.0,1446,113
8.441,13.0,0,-0.0,1446,113
8.64,13.2,0,-0.0,1446,113
8.846,13.3,0,-0.0,1445,113
9.082,13.1,0,-0.0,1445,113
9.274,13.2,0,-0.0,1446,113
9.484,13.0,0,-0.0,1446,113
9.731,13.2,0,-0.0,1446,113
9.908,13.2,0,-0.0,1445,113
10.129,13.2,0,-0.0,1445,113
