# Kp=? Ki=? Kd=?
time_s,current_alt_cm,target_alt_cm,vel_cmd_cm_s,pid_thr_ibus,pid_thr_0_255
0.189,12.2,0,-0.0,1343,87
0.426,12.6,0,-0.0,1335,85
0.602,17.9,0,-0.0,1497,126
0.847,28.7,0,-0.0,1474,120
1.048,37.6,0,-0.0,1449,114
1.256,40.9,0,-0.0,1440,112
1.485,37.6,0,-0.0,1457,116
1.686,31.7,0,22.82,1479,122
1.933,27.7,0,41.18,1510,130
2.124,30.7,0,40.71,1534,136
2.367,39.1,0,28.94,1520,132
2.575,47.1,0,27.53,1499,127
2.763,53.5,0,52.0,1493,125
3.016,56.4,0,52.0,1512,130
3.194,61.1,0,51.06,1538,137
3.454,65.3,0,49.18,1539,137
3.659,72.7,0,48.71,1545,138
3.845,81.0,0,-0.0,1538,137
4.096,88.2,0,-0.0,1517,131
4.288,94.5,0,-0.0,1496,126
4.494,96.2,0,-0.0,1491,125
4.706,99.6,0,-0.0,1506,129
4.94,98.2,0,-0.0,1483,123
5.174,93.6,0,51.06,1497,126
5.372,89.1,0,39.29,1557,142
5.598,92.4,0,25.65,1578,147
5.803,94.6,0,-0.0,1556,141
6.045,103.2,0,-0.0,1525,133
6.268,109.2,0,-0.0,1500,127
6.449,112.1,0,-0.0,1508,129
6.684,113.7,0,-0.0,1509,129
6.893,116.8,0,-0.0,1518,132
7.096,114.0,0,-0.0,1516,131
7.365,114.0,0,-0.0,1516,131
7.541,116.8,0,-0.0,1503,128
7.773,111.0,0,-0.0,1515,131
7.961,104.6,0,-0.0,1529,134
8.202,107.0,0,-0.0,1526,134
8.391,101.9,0,-0.0,1510,130
8.636,95.5,0,-0.0,1512,130
8.865,90.2,0,-0.0,1544,138
9.05,94.4,0,-0.0,1520,132
9.282,35.0,0,-0.0,1520,132
9.476,36.8,0,-0.0,1499,127
9.703,36.0,0,-0.0,1496,126
9.918,31.9,0,-0.0,1501,127
10.124,30.1,0,-0.0,1515,131
10.386,29.3,0,-0.0,1509,129
10.546,32.7,0,-0.0,1507,129
10.781,39.0,0,-0.0,1500,127
11.042,41.6,0,-0.0,1475,121
11.219,42.4,0,-0.0,1476,121
11.432,50.9,0,-0.0,1500,127
11.643,91.6,0,-0.0,1468,119
11.891,94.5,0,-0.0,1493,125
12.103,28.8,0,-60.0,1495,126
12.299,30.0,0,-60.0,1496,126
12.529,31.9,0,-60.0,1439,111
12.733,29.5,0,-60.0,1420,107
12.964,19.7,0,-60.0,1420,107
13.163,18.6,0,-60.0,1439,111
13.384,20.0,0,-8.23,1390,99
13.638,16.8,0,-0.0,1371,94
13.816,13.7,0,-0.0,1438,111
