# Kp=0.80 Ki=1.20 Kd=0.0
time_s,current_alt_cm,target_alt_cm,vel_cmd_cm_s,pid_thr_ibus,pid_thr_0_255
0.159,101.1,0,-0.0,,
0.33,101.2,0,-0.0,1315,80
0.541,101.4,0,-0.0,1495,126
0.739,101.3,0,-0.0,1500,127
0.939,101.3,0,-0.0,1500,127
1.128,101.5,0,-0.0,1500,127
1.35,101.4,0,-0.0,1500,127
1.547,101.4,0,-0.0,1500,127
1.758,101.4,0,-0.0,1500,127
1.948,101.3,0,-0.0,1500,127
2.138,101.3,0,-0.0,1500,127
2.35,101.4,0,-0.0,1500,127
2.536,101.5,0,-0.0,1500,127
2.746,101.6,0,-0.0,1500,127
2.938,101.5,0,-0.0,1500,127
3.136,101.3,0,-0.0,1500,127
3.336,101.4,0,60.0,1500,127
3.547,101.3,0,60.0,1551,140
3.737,101.4,0,60.0,1566,144
3.948,101.4,0,-0.0,1581,148
4.139,101.5,0,-0.0,1540,137
4.35,101.4,0,-0.0,1540,137
4.56,101.5,0,-0.0,1540,137
4.748,101.5,0,-0.0,1539,137
4.947,101.2,0,-0.0,1539,137
5.15,101.3,0,-60.0,1541,137
5.349,101.3,0,-60.0,1479,122
5.559,101.2,0,-60.0,1464,118
5.761,101.2,0,-0.0,1451,115
5.961,101.3,0,-0.0,1492,125
6.162,101.3,0,-0.0,1491,125
6.373,101.4,0,-0.0,1491,125
6.55,101.4,0,-0.0,1491,125
6.774,101.4,0,-0.0,1491,125
6.972,101.4,0,-0.0,1491,125
7.171,101.4,0,-60.0,1491,125
7.371,101.3,0,-0.0,1431,109
7.568,101.4,0,-0.0,1477,121
7.768,101.3,0,-0.0,1477,121
7.979,101.2,0,-0.0,1478,121
8.168,101.3,0,-0.0,1478,121
8.389,101.3,0,-0.0,1477,121
8.601,101.4,0,60.0,1477,121
8.769,101.4,0,60.0,1533,135
8.97,101.4,0,60.0,1548,139
9.17,101.4,0,-0.0,1563,143
9.369,101.3,0,-0.0,1518,132
9.578,101.5,0,-0.0,1518,132
9.769,101.3,0,-0.0,1517,131
9.97,101.5,0,-60.0,1518,132
10.171,101.4,0,-60.0,1477,121
10.383,101.1,0,-60.0,1454,115
10.571,101.2,0,-0.0,1440,112
10.772,101.4,0,-0.0,1480,122
11.004,101.2,0,-0.0,1479,122
11.203,101.4,0,-0.0,1480,122
11.393,101.3,0,-0.0,1480,122
11.592,101.3,0,-0.0,1480,122
