# Kp=? Ki=? Kd=?
time_s,current_alt_cm,target_alt_cm,vel_cmd_cm_s,pid_thr_ibus,pid_thr_0_255
0.004,12.1,0,-0.0,1593,151
0.232,12.2,0,-0.0,1593,151
0.423,13.0,0,-0.0,1395,100
0.676,16.5,0,-0.0,1496,126
0.851,23.5,0,-0.0,1483,123
1.085,27.8,0,-0.0,1465,118
1.28,29.1,0,3.53,1467,119
1.523,26.5,0,28.47,1478,121
1.72,23.7,0,52.94,1510,130
1.936,25.2,0,53.88,1545,138
2.16,32.1,0,52.0,1544,138
2.381,40.7,0,52.0,1535,136
2.577,47.0,0,55.29,1531,135
2.807,53.0,0,60.0,1545,138
3.021,56.1,0,60.0,1557,142
3.241,60.4,0,60.0,1579,147
3.447,65.8,0,59.53,1588,149
3.672,74.1,0,28.47,1593,151
3.896,84.7,0,-0.0,1584,148
4.088,95.2,0,-0.0,1525,133
4.325,100.0,0,-0.0,1516,131
4.529,98.9,0,27.06,1536,136
4.749,100.7,0,-0.0,1569,145
4.958,100.0,0,-0.0,1544,138
5.174,97.7,0,-0.0,1545,138
5.413,98.4,0,-0.0,1563,143
5.606,95.5,0,46.35,1547,139
5.85,91.9,0,34.12,1586,149
6.072,92.2,0,-0.0,1611,155
6.271,96.8,0,-0.0,1575,146
6.467,105.4,0,-0.0,1556,141
6.714,107.1,0,-13.41,1536,136
6.953,107.7,0,18.12,1537,136
7.137,112.2,0,-0.0,1545,138
7.357,112.2,0,-0.0,1538,137
7.562,110.5,0,-0.0,1554,141
7.776,108.5,0,-0.0,1552,140
8.013,107.5,0,-0.0,1557,142
8.205,102.7,0,-0.0,1562,143
8.448,101.8,0,-0.0,1579,147
8.656,96.4,0,-0.0,1568,144
8.868,60.7,0,-0.0,1590,150
9.084,47.6,0,-0.0,1658,167
9.296,61.1,0,-0.0,1614,156
9.536,76.4,0,-50.12,1548,139
9.72,90.4,0,-0.0,1508,129
9.925,92.7,0,-0.0,1471,120
10.161,99.3,0,-41.65,1531,135
10.39,110.0,0,-0.0,1514,131
10.593,102.0,0,-0.0,1476,121
10.801,98.5,0,-0.0,1558,142
11.008,93.4,0,-0.0,1549,139
11.241,92.2,0,-0.0,1543,138
11.455,96.5,0,-0.0,1522,133
11.662,67.4,0,-3.53,1527,134
11.875,56.6,0,3.06,1517,131
12.124,44.4,0,3.53,1550,140
12.326,35.6,0,-0.0,1574,146
12.565,31.4,0,-0.0,1574,146
12.772,32.4,0,-0.0,1560,142
12.977,36.5,0,-27.53,1545,138
13.208,39.6,0,-0.0,1523,133
13.393,42.5,0,-0.0,1486,123
13.631,43.0,0,-0.0,1521,132
13.88,48.7,0,-0.0,1519,132
14.054,35.8,0,-0.0,1505,128
14.267,30.6,0,-0.0,1573,146
14.489,27.9,0,-0.0,1559,142
14.706,30.0,0,-0.0,1552,140
14.95,34.0,0,-0.0,1535,136
15.143,39.9,0,-0.0,1526,134
15.336,42.4,0,-0.0,1510,130
15.56,42.3,0,-0.0,1518,132
15.815,44.3,0,-0.0,1529,134
15.996,79.1,0,-0.0,1515,131
16.2,88.3,0,-0.0,1445,113
16.466,84.0,0,-0.0,1501,127
16.647,82.6,0,-0.0,1508,129
16.883,79.9,0,-0.0,1504,128
17.086,78.9,0,-0.0,1520,132
