# Kp=? Ki=? Kd=?
time_s,current_alt_cm,target_alt_cm,vel_cmd_cm_s,pid_thr_ibus,pid_thr_0_255
0.181,12.2,0,-0.0,1326,83
0.422,12.7,0,-0.0,1288,73
0.605,13.2,0,-0.0,1398,101
0.832,12.8,0,-0.0,1399,101
1.051,13.8,0,-0.0,1399,101
1.253,11.9,0,-0.0,1396,100
1.469,12.1,0,-0.0,1407,103
1.688,12.2,0,-0.0,1401,102
1.891,12.1,0,-0.0,1400,102
2.103,12.2,0,-0.0,1400,102
2.338,12.1,0,-0.0,1400,102
2.576,12.2,0,-0.0,1400,102
2.75,12.0,0,-0.0,1399,101
2.984,12.0,0,-0.0,1400,102
3.18,11.9,0,-0.0,1400,102
3.414,12.0,0,-0.0,1400,102
3.604,12.0,0,-0.0,1400,102
3.854,11.8,0,6.35,1400,102
4.088,12.0,0,19.53,1405,103
4.268,12.0,0,28.47,1414,105
4.505,11.9,0,31.77,1425,108
4.699,11.9,0,38.35,1437,111
4.91,11.8,0,39.77,1452,115
5.158,12.2,0,40.24,1465,118
5.351,13.2,0,40.71,1472,120
5.593,14.7,0,26.59,1481,122
5.774,17.2,0,-0.0,1485,123
6.002,18.0,0,-0.0,1453,115
6.21,16.0,0,-0.0,1459,117
6.457,13.0,0,-0.0,1469,119
6.667,13.9,0,-0.0,1475,121
6.871,15.0,0,-0.0,1461,117
7.092,15.5,0,-0.0,1460,117
7.302,14.1,0,-0.0,1462,117
7.514,12.2,0,-0.0,1469,119
7.759,13.0,0,-0.0,1471,120
7.938,13.4,0,-0.0,1465,118
8.193,12.6,0,-0.0,1464,118
8.366,13.1,0,-0.0,1470,119
8.593,14.3,0,-0.0,1463,118
8.804,13.7,0,-0.0,1463,118
9.005,13.1,0,-0.0,1467,119
9.265,12.4,0,-0.0,1469,119
9.466,12.5,0,-0.0,1470,119
9.685,12.6,0,-0.0,1466,118
9.871,12.5,0,-0.0,1466,118
10.089,12.4,0,-0.0,1466,118
10.34,12.3,0,-0.0,1467,119
10.511,12.4,0,-0.0,1467,119
10.754,12.2,0,-0.0,1467,119
10.952,12.5,0,-0.0,1467,119
11.166,12.4,0,-0.0,1465,118
11.393,12.2,0,-0.0,1466,118
11.623,12.3,0,-0.0,1467,119
11.835,12.5,0,-0.0,1466,118
12.029,12.5,0,-0.0,1466,118
12.273,12.4,0,-0.0,1466,118
12.465,12.7,0,-0.0,1466,118
12.681,12.7,0,-0.0,1465,118
12.919,12.4,0,-0.0,1465,118
13.113,12.7,0,-0.0,1467,119
13.335,12.5,0,-0.0,1466,118
13.533,12.3,0,-0.0,1467,119
13.744,12.3,0,-0.0,1467,119
13.979,12.5,0,-0.0,1467,119
14.216,12.2,0,-0.0,1467,119
14.423,12.5,0,-0.0,1468,119
14.616,12.7,0,-0.0,1466,118
14.843,12.4,0,-0.0,1466,118
15.042,12.6,0,-0.0,1468,119
15.305,12.5,0,-0.0,1466,118
15.506,12.5,0,-0.0,1466,118
15.689,12.5,0,-0.0,1466,118
15.923,12.4,0,-0.0,1468,119
16.121,12.3,0,-0.0,1467,119
16.338,12.7,0,-0.0,1467,119
16.583,12.4,0,-0.0,1465,118
16.764,12.3,0,-0.0,1467,119
16.994,12.1,0,-0.0,1467,119
17.232,12.4,0,-0.0,1468,119
17.434,12.3,0,-0.0,1466,118
17.639,12.2,0,-0.0,1467,119
17.861,11.9,0,-0.0,1467,119
18.088,12.1,0,-0.0,1469,119
18.284,12.1,0,18.59,1467,119
18.506,12.4,0,42.59,1477,121
18.712,14.6,0,42.59,1508,129
18.924,19.3,0,42.59,1511,130
19.185,24.7,0,42.59,1510,130
19.361,29.1,0,42.59,1511,130
19.603,31.0,0,27.53,1518,132
19.806,30.4,0,18.59,1534,136
20.01,29.4,0,19.06,1532,135
20.239,28.5,0,44.0,1535,136
20.436,27.9,0,53.41,1567,144
20.684,29.9,0,53.41,1585,149
20.866,35.4,0,38.82,1577,147
21.086,41.2,0,-0.0,1563,143
21.301,44.3,0,3.06,1533,135
21.508,43.1,0,27.06,1535,136
21.775,38.8,0,40.71,1566,144
21.95,34.6,0,40.71,1581,148
22.151,32.9,0,42.59,1587,149
22.369,33.9,0,42.59,1579,147
22.598,37.2,0,42.59,1581,148
22.806,41.1,0,42.59,1581,148
23.042,44.6,0,42.59,1587,149
23.255,48.1,0,42.59,1581,148
23.458,51.1,0,42.59,1574,146
23.684,52.5,0,42.59,1581,148
23.903,52.4,0,42.59,1580,147
24.108,52.2,0,44.0,1582,148
24.339,50.7,0,44.47,1582,148
24.552,49.5,0,41.18,1575,146
24.771,46.7,0,25.18,1587,149
24.978,44.7,0,6.82,1583,148
25.195,40.8,0,3.06,1574,146
25.427,36.5,0,3.06,1577,147
25.628,34.0,0,3.06,1586,149
25.843,34.0,0,3.06,1582,148
26.059,35.3,0,3.06,1574,146
