# Kp=? Ki=? Kd=?
time_s,current_alt_cm,target_alt_cm,vel_cmd_cm_s,pid_thr_ibus,pid_thr_0_255
0.124,11.4,0,-0.0,,
0.332,11.5,0,-0.0,1040,10
0.55,11.7,0,-0.0,1240,61
0.772,11.6,0,-0.0,1398,101
0.995,11.5,0,-0.0,1400,102
1.18,11.5,0,-0.0,1400,102
1.398,11.7,0,-0.0,1400,102
1.618,11.7,0,-0.0,1399,101
1.844,11.6,0,-0.0,1400,102
2.052,11.7,0,-0.0,1400,102
2.27,11.8,0,-0.0,1400,102
2.502,11.7,0,-0.0,1400,102
2.707,11.8,0,-0.0,1400,102
2.924,11.8,0,-0.0,1399,101
3.142,11.6,0,-0.0,1400,102
3.357,11.7,0,-0.0,1400,102
3.59,11.9,0,-0.0,1400,102
3.782,12.0,0,-0.0,1400,102
3.995,11.9,0,4.47,1399,101
4.219,11.8,0,22.82,1399,101
4.437,11.4,0,24.24,1416,106
4.656,11.6,0,28.47,1428,109
4.855,12.0,0,34.12,1436,111
5.085,12.2,0,34.12,1447,113
5.291,14.2,0,33.65,1454,115
5.492,16.0,0,22.35,1456,116
5.714,18.5,0,-0.0,1462,117
5.946,18.7,0,-0.0,1434,110
6.164,16.3,0,-0.0,1440,112
6.362,13.6,0,-0.0,1449,114
6.629,12.1,0,-0.0,1455,116
6.792,12.9,0,-0.0,1453,115
7.007,14.1,0,-0.0,1444,113
7.263,14.5,0,-0.0,1442,112
7.443,14.1,0,-0.0,1445,113
7.684,13.1,0,-0.0,1448,114
7.877,12.7,0,-0.0,1450,114
8.109,12.9,0,9.18,1449,114
8.309,13.3,0,26.59,1453,115
8.53,14.7,0,32.71,1470,119
8.779,18.3,0,38.82,1478,121
8.997,22.7,0,38.35,1482,122
9.189,27.2,0,38.35,1482,122
9.396,29.2,0,41.65,1491,125
9.626,31.4,0,44.0,1504,128
9.832,30.7,0,44.0,1519,132
10.047,33.1,0,44.47,1536,136
10.249,36.0,0,44.47,1537,136
10.472,38.8,0,52.94,1542,138
10.687,40.0,0,54.35,1552,140
10.916,44.2,0,53.41,1581,148
11.112,45.9,0,33.18,1569,145
11.37,51.0,0,-0.0,1577,147
11.559,58.9,0,4.47,1525,133
11.769,62.2,0,7.29,1508,129
11.969,59.6,0,28.47,1510,130
12.194,54.6,0,33.18,1554,141
12.435,51.0,0,38.82,1574,146
12.61,48.9,0,38.82,1561,143
12.855,47.6,0,38.82,1562,143
13.065,48.4,0,38.82,1574,146
13.271,48.7,0,38.35,1578,147
13.486,49.8,0,-0.0,1581,148
