# Kp=? Ki=? Kd=?
time_s,current_alt_cm,target_alt_cm,vel_cmd_cm_s,pid_thr_ibus,pid_thr_0_255
0.151,11.2,0,-0.0,1396,100
0.366,11.3,0,-0.0,1315,80
0.583,14.5,0,4.47,1500,127
0.823,22.3,0,4.47,1490,124
1.035,30.6,0,4.94,1467,119
1.251,34.8,0,30.82,1458,116
1.454,34.2,0,52.47,1479,122
1.695,31.5,0,54.35,1528,134
1.885,33.4,0,54.35,1553,141
2.107,38.5,0,54.35,1552,140
2.336,44.9,0,27.53,1550,140
2.549,51.1,0,3.06,1535,136
2.75,56.4,0,40.71,1504,128
2.979,60.3,0,38.82,1520,132
3.196,61.4,0,3.53,1551,140
3.402,63.8,0,4.47,1526,134
3.608,65.7,0,3.53,1526,134
3.835,67.1,0,33.18,1525,133
4.07,67.1,0,43.06,1541,137
4.259,69.8,0,-0.0,1573,146
4.484,72.7,0,-0.0,1557,142
4.677,76.4,0,-0.0,1536,136
4.898,81.1,0,-0.0,1532,135
5.109,85.0,0,-0.0,1514,131
5.323,82.5,0,-0.0,1515,131
5.565,83.3,0,-0.0,1529,134
5.774,81.5,0,-0.0,1525,133
5.977,81.3,0,-0.0,1531,135
6.194,79.1,0,-0.0,1521,132
6.415,71.4,0,-0.0,1545,138
6.656,74.7,0,-60.0,1548,139
6.846,72.5,0,-60.0,1484,123
