# Kp=? Ki=? Kd=?
time_s,current_alt_cm,target_alt_cm,pid_thr_ibus,pid_thr_0_255
0.138,11.5,0,,
0.36,11.3,0,1033,8
0.579,11.3,0,1100,25
0.801,11.3,0,1100,25
1.0,11.2,0,1100,25
1.23,11.3,0,1100,25
1.444,11.3,0,1100,25
1.654,11.3,0,1100,25
1.904,11.3,0,1100,25
2.069,11.3,0,1100,25
2.298,11.3,0,1100,25
2.497,11.1,0,1100,25
2.712,11.3,0,1100,25
2.95,11.2,0,1100,25
3.144,11.3,0,1100,25
3.362,11.3,0,1100,25
3.582,11.3,0,1100,25
3.809,11.4,0,1100,25
4.008,11.3,0,1100,25
4.233,11.2,0,1100,25
4.45,11.3,0,1100,25
4.657,11.3,0,1100,25
4.867,11.2,0,1100,25
5.112,11.4,0,1100,25
5.298,11.4,0,1100,25
5.528,11.1,0,1100,25
5.755,11.4,0,1100,25
5.958,11.2,0,1100,25
6.227,11.6,0,1100,25
6.38,11.6,0,1100,25
6.647,11.6,0,1100,25
6.825,10.9,0,1100,25
7.045,11.1,0,1100,25
7.235,11.2,0,1100,25
7.455,11.1,0,1100,25
7.684,11.3,0,1100,25
7.885,11.5,0,1100,25
8.131,11.2,0,1100,25
8.332,10.7,0,1100,25
8.549,10.6,0,1100,25
8.789,10.6,0,1100,25
8.983,10.8,0,1100,25
9.211,10.4,0,1100,25
9.427,10.9,0,1100,25
9.632,13.3,0,1100,25
9.834,15.4,0,1100,25
10.05,18.4,0,1100,25
10.294,18.6,0,1100,25
10.488,18.4,0,1100,25
10.737,18.3,0,1100,25
10.931,17.6,0,1100,25
11.148,17.9,0,1100,25
11.381,17.9,0,1100,25
11.581,16.1,0,1100,25
11.785,12.9,0,1100,25
11.99,12.2,0,1100,25
12.228,10.6,0,1100,25
12.459,10.5,0,1100,25
12.644,11.1,0,1100,25
12.878,10.8,0,1100,25
13.074,10.9,0,1100,25
