# Kp=0.80 Ki=1.20 Kd=0.0
time_s,current_alt_cm,target_alt_cm,vel_cmd_cm_s,pid_thr_ibus,pid_thr_0_255
0.103,1.8,0,-0.0,,
0.32,1.8,0,-0.0,1315,80
0.527,1.7,0,-0.0,1500,127
0.779,1.8,0,-0.0,1500,127
0.985,1.8,0,-0.0,1500,127
1.182,1.7,0,-0.0,1500,127
1.4,1.9,0,-0.0,1500,127
1.589,1.7,0,-0.0,1500,127
1.796,1.7,0,-0.0,1500,127
1.985,1.8,0,-0.0,1500,127
2.192,1.8,0,-0.0,1500,127
2.379,1.9,0,-0.0,1500,127
2.587,1.8,0,-0.0,1500,127
2.785,1.9,0,-0.0,1500,127
2.994,1.8,0,-0.0,1500,127
3.183,1.8,0,-0.0,1500,127
3.389,1.8,0,-0.0,1500,127
3.641,1.7,0,-0.0,1500,127
3.796,1.8,0,-0.0,1500,127
4.035,1.9,0,-0.0,1500,127
4.211,1.8,0,-0.0,1500,127
4.443,1.8,0,-0.0,1500,127
4.602,1.9,0,-0.0,1500,127
4.804,1.8,0,-0.0,1500,127
5.023,1.8,0,-0.0,1500,127
5.21,1.8,0,-0.0,1500,127
5.42,1.8,0,-0.0,1500,127
5.629,1.8,0,-0.0,1500,127
5.817,1.8,0,-0.0,1500,127
6.003,1.9,0,-0.0,1500,127
6.263,1.8,0,-0.0,1500,127
6.46,1.9,0,-0.0,1500,127
6.678,1.9,0,-0.0,1500,127
6.876,1.8,0,-0.0,1500,127
7.061,1.7,0,-0.0,1500,127
7.279,1.9,0,-0.0,1500,127
7.487,1.8,0,-0.0,1500,127
7.675,1.9,0,-0.0,1500,127
7.874,1.8,0,-0.0,1500,127
8.07,1.8,0,-0.0,1500,127
8.278,1.8,0,-0.0,1500,127
8.465,1.8,0,-0.0,1500,127
8.672,1.8,0,-0.0,1500,127
8.88,1.8,0,-0.0,1500,127
9.097,1.8,0,-0.0,1500,127
9.542,1.9,0,-0.0,1500,127
9.907,1.9,0,-0.0,1500,127
10.097,1.9,0,-0.0,1500,127
10.326,1.8,0,-0.0,1500,127
10.565,1.8,0,-0.0,1500,127
10.787,1.8,0,-0.0,1500,127
10.965,1.8,0,-0.0,1500,127
11.187,1.9,0,-0.0,1500,127
11.396,1.8,0,-0.0,1500,127
11.564,1.8,0,-0.0,1500,127
11.77,1.7,0,-0.0,1500,127
11.979,1.8,0,-0.0,1500,127
12.166,1.7,0,-0.0,1500,127
12.366,1.8,0,-0.0,1500,127
12.563,1.7,0,-0.0,1500,127
12.783,1.8,0,-0.0,1500,127
12.969,1.8,0,-0.0,1499,127
13.181,1.8,0,-0.0,1500,127
13.39,1.9,0,-0.0,1500,127
13.587,1.9,0,-0.0,1500,127
13.786,1.8,0,-0.0,1500,127
14.004,1.7,0,-0.0,1500,127
14.209,1.8,0,-0.0,1500,127
14.377,1.9,0,-0.0,1500,127
14.609,1.8,0,-0.0,1500,127
14.799,1.9,0,-0.0,1500,127
15.018,1.9,0,-0.0,1500,127
15.197,1.7,0,-0.0,1500,127
15.409,1.8,0,-0.0,1500,127
15.607,1.9,0,-0.0,1500,127
15.806,1.9,0,-0.0,1500,127
16.019,1.9,0,-0.0,1500,127
16.229,1.8,0,-0.0,1500,127
16.427,1.8,0,-0.0,1500,127
16.636,1.7,0,-0.0,1500,127
16.812,1.7,0,-0.0,1500,127
17.01,1.8,0,-0.0,1500,127
17.258,1.8,0,-0.0,1500,127
17.541,1.7,0,-0.0,1500,127
17.844,1.6,0,-0.0,1500,127
18.083,1.7,0,-0.0,1500,127
18.27,1.8,0,-0.0,1500,127
18.468,1.7,0,-0.0,1500,127
18.667,1.7,0,-0.0,1500,127
18.874,1.7,0,-0.0,1500,127
19.082,1.7,0,-0.0,1500,127
19.261,1.7,0,-0.0,1500,127
19.469,1.8,0,-0.0,1500,127
19.668,1.9,0,-0.0,1500,127
19.864,1.8,0,-0.0,1500,127
20.07,1.7,0,-0.0,1500,127
