# Kp=? Ki=? Kd=?
time_s,current_alt_cm,target_alt_cm,vel_cmd_cm_s,pid_thr_ibus,pid_thr_0_255
0.008,12.2,0,3.06,1585,149
0.167,12.2,0,3.06,1585,149
0.404,12.8,0,3.53,1359,91
0.62,15.6,0,3.53,1501,127
0.845,22.2,0,3.53,1491,125
1.058,27.8,0,10.59,1475,121
1.254,30.8,0,41.18,1473,120
1.492,29.7,0,46.35,1497,126
1.68,29.5,0,48.71,1538,137
1.935,32.8,0,48.71,1548,139
2.111,38.7,0,48.71,1547,139
2.329,43.9,0,48.71,1546,139
2.574,49.4,0,48.71,1552,140
2.755,52.8,0,50.59,1556,141
2.984,55.0,0,41.65,1572,145
3.199,61.1,0,42.12,1588,149
3.398,67.1,0,32.24,1571,145
3.627,76.6,0,-0.0,1576,146
3.847,84.1,0,-0.0,1528,134
4.051,85.9,0,39.77,1528,134
4.254,85.8,0,46.35,1552,140
4.514,86.7,0,9.65,1597,152
4.684,89.5,0,26.12,1583,148
4.912,94.1,0,-0.0,1570,145
5.126,100.0,0,-0.0,1555,141
5.335,102.8,0,-0.0,1538,137
5.57,105.4,0,-0.0,1537,136
5.774,105.0,0,-0.0,1552,140
5.982,103.2,0,-0.0,1558,142
6.196,102.8,0,-0.0,1557,142
6.423,99.2,0,-0.0,1560,142
6.649,98.5,0,-0.0,1568,144
6.886,94.1,0,-0.0,1573,146
7.076,95.6,0,-0.0,1582,148
7.29,96.7,0,-0.0,1553,141
7.535,98.0,0,-7.29,1558,142
7.751,93.8,0,-13.88,1562,143
7.93,72.1,0,-0.0,1566,144
8.147,78.5,0,-0.0,1633,161
8.361,65.5,0,-46.35,1548,139
8.578,72.0,0,-52.94,1583,148
8.792,83.4,0,-0.0,1514,131
9.023,81.7,0,-0.0,1482,122
9.237,73.3,0,6.82,1543,138
9.452,113.1,0,6.82,1581,148
9.692,45.6,0,4.47,1522,133
9.901,35.2,0,-0.0,1508,129
10.097,24.6,0,40.24,1545,138
10.329,20.3,0,-0.0,1563,143
10.517,24.7,0,-0.0,1554,141
10.752,33.7,0,-54.82,1523,133
10.959,38.4,0,-60.0,1452,115
11.165,34.0,0,-0.0,1438,111
11.422,24.8,0,-0.0,1468,119
11.611,16.2,0,-0.0,1531,135
11.824,24.2,0,4.0,1529,134
12.029,27.9,0,8.24,1482,122
12.245,27.9,0,46.82,1495,126
12.486,26.9,0,52.47,1535,136
12.683,28.4,0,-0.0,1561,143
12.904,31.3,0,-0.0,1544,138
13.113,34.8,0,-0.0,1515,131
13.351,58.3,0,3.06,1506,129
13.53,94.3,0,3.06,1445,113
13.746,86.6,0,3.06,1529,134
13.996,21.0,0,-0.0,1547,139
14.182,23.5,0,-60.0,1505,128
14.407,28.1,0,-29.41,1448,114
14.637,23.7,0,-0.0,1418,106
14.84,15.1,0,-45.41,1493,125
15.074,18.3,0,-44.47,1508,129
15.26,22.0,0,-0.0,1413,105
15.492,18.7,0,-20.0,1401,102
15.707,14.6,0,-0.0,1470,119
15.924,17.0,0,-0.0,1453,115
