# Kp=? Ki=? Kd=?
time_s,current_alt_cm,target_alt_cm,pid_thr_ibus,pid_thr_0_255
0.013,85.3,0,1560,142
0.216,94.3,0,1560,142
0.421,93.3,0,1470,119
0.63,88.3,0,1477,121
0.863,72.9,0,1491,125
1.085,60.3,0,1542,138
1.289,40.6,0,1570,145
1.494,28.0,0,1610,155
1.712,22.2,0,1608,155
1.975,27.0,0,1591,150
2.17,35.5,0,1553,141
2.363,42.0,0,1527,134
2.589,41.4,0,1534,136
2.803,44.3,0,1540,137
3.011,41.1,0,1539,137
3.233,38.5,0,1561,143
3.445,32.6,0,1566,144
3.671,34.5,0,1577,147
3.898,34.8,0,1556,141
4.17,38.5,0,1556,141
4.318,39.2,0,1552,140
4.546,37.1,0,1553,141
4.745,34.5,0,1566,144
5.003,33.6,0,1575,146
5.178,34.2,0,1575,146
5.402,37.9,0,1583,148
5.61,43.6,0,1572,145
5.851,47.8,0,1570,145
6.036,51.3,0,1575,146
6.274,55.9,0,1592,150
6.499,61.0,0,1611,155
6.701,71.9,0,1620,158
6.924,82.0,0,1603,153
7.133,97.9,0,1573,146
7.349,97.4,0,1514,131
7.565,115.4,0,1545,138
7.782,120.9,0,1518,132
7.974,123.3,0,1526,134
8.198,121.8,0,1521,132
8.444,114.2,0,1530,135
8.633,101.1,0,1566,144
8.865,98.1,0,1596,151
9.079,89.1,0,1579,147
9.275,92.2,0,1598,152
9.506,86.5,0,1575,146
9.716,88.1,0,1590,150
9.94,91.8,0,1586,149
10.151,90.6,0,1566,144
10.365,93.1,0,1593,151
10.575,96.3,0,1588,149
10.773,94.0,0,1567,144
10.989,107.2,0,1566,144
11.211,112.2,0,1525,133
11.436,113.6,0,1542,138
11.651,110.4,0,1548,139
11.853,106.1,0,1558,142
12.097,100.2,0,1571,145
12.305,82.7,0,1602,153
12.501,100.7,0,1617,157
12.725,102.0,0,1570,145
12.956,110.2,0,1542,138
13.178,110.2,0,1537,136
13.375,94.0,0,1558,142
13.668,103.2,0,1601,153
13.819,93.6,0,1555,141
14.029,98.7,0,1584,148
14.277,98.8,0,1573,146
14.47,91.3,0,1572,145
14.686,95.9,0,1595,151
14.893,88.1,0,1562,143
15.112,93.9,0,1581,148
15.315,98.2,0,1577,147
15.587,96.1,0,1565,144
15.787,93.1,0,1579,147
15.955,90.0,0,1590,150
16.22,85.7,0,1590,150
16.393,94.5,0,1590,150
16.614,95.7,0,1558,142
16.855,95.3,0,1576,146
17.046,93.5,0,1571,145
17.285,96.0,0,1577,147
17.49,85.4,0,1563,143
17.687,92.3,0,1613,156
17.904,92.1,0,1584,148
18.143,95.4,0,1570,145
18.37,100.8,0,1575,146
18.559,96.1,0,1558,142
18.795,96.0,0,1591,150
18.993,100.1,0,1574,146
19.217,102.8,0,1554,141
19.477,102.3,0,1555,141
19.652,98.5,0,1566,144
19.864,94.2,0,1587,149
20.084,93.9,0,1585,149
20.297,91.4,0,1581,148
20.524,88.2,0,1581,148
20.739,87.1,0,1584,148
20.986,89.8,0,1583,148
21.214,91.5,0,1572,145
21.408,92.3,0,1566,144
21.718,92.8,0,1576,146
21.863,95.5,0,1576,146
22.069,90.7,0,1565,144
22.291,94.5,0,1597,152
22.512,93.2,0,1564,143
22.695,95.5,0,1580,147
22.897,54.4,0,1563,143
23.15,36.7,0,1588,149
23.344,44.6,0,1622,158
23.581,53.7,0,1527,134
23.769,57.5,0,1508,129
23.985,56.0,0,1519,132
24.199,66.2,0,1540,137
24.449,96.6,0,1488,124
24.626,85.2,0,1398,101
24.84,57.5,0,1482,122
25.06,24.4,0,1582,148
25.28,15.1,0,1657,167
25.473,12.3,0,1575,146
25.703,12.1,0,1551,140
25.907,11.8,0,1546,139
26.144,12.2,0,1545,138
26.364,18.9,0,1542,138
26.567,32.4,0,1512,130
26.872,47.7,0,1482,122
27.017,60.4,0,1456,116
27.22,66.5,0,1448,114
27.407,70.4,0,1457,116
27.659,71.5,0,1461,117
27.879,72.1,0,1471,120
28.053,73.7,0,1467,119
28.367,76.2,0,1465,118
28.502,73.5,0,1461,117
28.713,71.1,0,1472,120
28.926,71.1,0,1485,123
29.133,71.4,0,1479,122
29.382,71.7,0,1476,121
29.573,70.2,0,1472,120
29.777,69.5,0,1483,123
30.001,70.6,0,1479,122
30.246,70.4,0,1474,120
30.468,70.6,0,1479,122
30.655,69.4,0,1473,120
30.954,68.7,0,1481,122
31.078,69.7,0,1479,122
31.315,69.9,0,1473,120
31.566,69.7,0,1473,120
31.732,68.8,0,1475,121
31.99,69.0,0,1477,121
32.164,68.5,0,1474,120
32.378,68.5,0,1480,122
32.639,69.1,0,1478,121
32.86,68.5,0,1472,120
33.073,68.8,0,1478,121
33.243,68.8,0,1471,120
33.484,68.7,0,1477,121
33.673,68.9,0,1478,121
33.916,70.4,0,1481,122
34.119,70.0,0,1467,119
34.33,70.5,0,1473,120
34.583,71.0,0,1471,120
34.772,70.9,0,1471,120
34.989,71.6,0,1477,121
35.193,71.2,0,1475,121
35.401,69.4,0,1475,121
35.649,70.6,0,1484,123
35.835,69.9,0,1472,120
36.073,69.3,0,1474,120
36.26,69.8,0,1477,121
36.485,69.9,0,1476,121
36.705,69.0,0,1472,120
36.92,69.8,0,1479,122
37.114,69.2,0,1474,120
37.333,68.9,0,1473,120
37.562,72.7,0,1477,121
37.772,83.3,0,1459,117
37.982,86.3,0,1424,108
38.207,89.8,0,1449,114
38.429,87.7,0,1439,111
38.654,86.8,0,1455,116
38.837,89.0,0,1458,116
39.068,90.0,0,1447,113
39.283,90.3,0,1443,112
39.484,90.8,0,1449,114
39.707,88.5,0,1448,114
39.92,88.4,0,1456,116
40.125,89.0,0,1460,117
40.352,89.5,0,1445,113
40.579,91.7,0,1446,113
40.79,88.6,0,1435,110
40.987,88.6,0,1466,118
41.227,88.4,0,1456,116
41.489,89.2,0,1453,115
41.662,89.8,0,1447,113
41.874,88.6,0,1446,113
42.071,89.5,0,1459,117
42.31,87.9,0,1450,114
42.515,88.6,0,1452,115
42.734,88.4,0,1449,114
42.951,88.5,0,1456,116
43.179,90.1,0,1460,117
43.453,89.3,0,1444,113
43.625,89.1,0,1454,115
43.833,90.9,0,1455,116
44.025,89.3,0,1447,113
44.251,88.6,0,1453,115
44.475,89.7,0,1459,117
44.654,87.2,0,1443,112
44.868,88.0,0,1458,116
45.088,90.9,0,1453,115
45.33,92.0,0,1439,111
45.521,97.6,0,1450,114
45.739,97.4,0,1427,108
45.967,98.8,0,1442,112
46.155,96.7,0,1432,110
46.385,102.8,0,1446,113
46.615,100.3,0,1421,107
46.828,108.0,0,1439,111
47.036,102.9,0,1404,103
47.24,98.6,0,1435,110
47.483,94.2,0,1457,116
47.661,99.1,0,1462,117
47.885,99.1,0,1427,108
48.13,99.1,0,1437,111
48.316,103.7,0,1438,111
48.541,101.5,0,1422,107
48.782,100.9,0,1444,113
48.967,97.8,0,1442,112
49.213,95.4,0,1453,115
49.401,91.4,0,1460,117
49.659,86.3,0,1470,119
49.817,82.9,0,1477,121
50.144,80.4,0,1470,119
50.282,78.1,0,1469,119
50.467,79.7,0,1472,120
50.72,83.3,0,1457,116
50.911,86.0,0,1445,113
51.134,85.4,0,1448,114
51.329,85.9,0,1452,115
51.551,87.4,0,1451,115
51.787,87.5,0,1441,112
51.99,85.4,0,1447,113
52.192,87.6,0,1461,117
52.412,86.6,0,1447,113
52.667,87.9,0,1460,117
52.865,90.5,0,1451,115
53.058,89.6,0,1451,115
53.302,87.2,0,1454,115
53.496,83.5,0,1460,117
53.705,81.0,0,1468,119
53.974,82.6,0,1463,118
54.151,83.4,0,1453,115
54.392,84.8,0,1457,116
54.559,84.5,0,1453,115
54.791,83.1,0,1450,114
54.992,83.3,0,1460,117
55.23,82.7,0,1458,116
55.488,85.5,0,1464,118
55.642,86.5,0,1441,112
55.923,86.6,0,1441,112
56.072,87.9,0,1453,115
56.302,84.9,0,1446,113
56.516,85.2,0,1462,117
56.727,83.6,0,1456,116
56.97,83.5,0,1465,118
57.156,84.0,0,1457,116
57.386,80.4,0,1451,115
57.596,80.3,0,1469,119
57.827,80.7,0,1467,119
58.046,79.7,0,1462,117
58.233,79.7,0,1465,118
58.477,81.0,0,1468,119
58.66,82.5,0,1456,116
58.89,83.2,0,1448,114
59.115,81.7,0,1450,114
59.309,80.0,0,1457,116
59.532,79.3,0,1471,120
59.732,79.0,0,1465,118
59.968,83.1,0,1462,117
60.159,82.0,0,1445,113
60.387,91.5,0,1452,115
60.703,98.3,0,1409,104
60.827,96.6,0,1414,105
61.06,96.4,0,1445,113
61.259,93.3,0,1445,113
61.459,90.4,0,1462,117
61.703,88.1,0,1464,118
61.888,85.2,0,1462,117
62.13,84.2,0,1466,118
62.312,82.2,0,1461,117
62.529,82.9,0,1467,119
62.763,80.6,0,1449,114
62.972,81.9,0,1464,118
63.205,82.3,0,1454,115
63.38,81.6,0,1450,114
63.608,81.8,0,1463,118
63.822,83.3,0,1454,115
64.032,85.3,0,1446,113
64.237,82.5,0,1442,112
64.462,80.8,0,1454,115
64.704,80.9,0,1465,118
64.889,84.1,0,1457,116
65.098,84.6,0,1438,111
65.31,84.0,0,1451,115
65.559,84.5,0,1459,117
65.772,85.3,0,1459,117
65.982,84.5,0,1449,114
66.21,82.8,0,1455,116
66.467,83.9,0,1468,119
66.636,83.0,0,1462,117
66.842,79.8,0,1461,117
67.056,80.0,0,1480,122
67.276,79.9,0,1466,118
67.472,80.3,0,1463,118
67.707,80.1,0,1461,117
67.94,80.1,0,1463,118
68.158,79.6,0,1460,117
68.392,79.3,0,1461,117
68.555,77.4,0,1458,116
68.772,76.1,0,1467,119
69.007,75.5,0,1472,120
69.229,74.4,0,1468,119
69.48,73.4,0,1472,120
69.655,73.1,0,1471,120
69.9,71.2,0,1473,120
70.079,73.0,0,1476,121
70.306,71.6,0,1469,119
70.509,72.6,0,1478,121
70.712,73.3,0,1471,120
70.949,74.2,0,1467,119
71.162,72.7,0,1463,118
71.369,72.2,0,1474,120
71.582,72.9,0,1475,121
71.819,72.2,0,1466,118
72.042,73.8,0,1472,120
72.226,73.0,0,1470,119
72.478,74.7,0,1472,120
72.69,72.9,0,1460,117
72.868,73.8,0,1474,120
73.16,72.2,0,1471,120
73.326,72.9,0,1483,123
73.532,75.5,0,1472,120
73.759,73.8,0,1458,116
73.966,73.0,0,1472,120
74.204,74.4,0,1479,122
74.402,73.9,0,1465,118
74.599,73.8,0,1471,120
74.829,75.0,0,1465,118
75.1,72.8,0,1462,117
