# Kp=? Ki=? Kd=?
time_s,current_alt_cm,target_alt_cm,pid_thr_ibus,pid_thr_0_255
0.219,10.8,0,,
0.465,10.7,0,1070,17
0.661,10.8,0,1100,25
0.878,10.8,0,1100,25
1.085,11.0,0,1100,25
1.296,10.8,0,1100,25
1.518,10.9,0,1100,25
1.73,10.9,0,1100,25
1.968,10.9,0,1100,25
2.149,11.1,0,1100,25
2.396,11.0,0,1100,25
2.585,11.0,0,1100,25
2.795,10.9,0,1100,25
3.053,10.9,0,1100,25
3.23,10.8,0,1100,25
3.499,11.0,0,1100,25
3.655,11.0,0,1100,25
3.887,11.1,0,1100,25
4.095,11.0,0,1100,25
4.341,10.9,0,1100,25
4.534,11.1,0,1100,25
4.745,11.1,0,1100,25
4.976,11.0,0,1100,25
5.172,11.0,0,1100,25
5.391,11.1,0,1100,25
5.599,10.9,0,1100,25
5.825,10.8,0,1100,25
6.074,11.1,0,1100,25
6.246,11.5,0,1100,25
6.475,11.3,0,1100,25
6.713,11.1,0,1100,25
6.89,11.4,0,1100,25
7.14,11.0,0,1100,25
7.351,11.3,0,1100,25
7.559,11.5,0,1100,25
7.761,11.5,0,1100,25
7.987,11.1,0,1100,25
8.206,11.1,0,1100,25
8.412,11.2,0,1100,25
8.633,11.1,0,1100,25
8.855,10.9,0,1100,25
9.054,10.8,0,1100,25
9.27,10.8,0,1100,25
9.489,10.8,0,1100,25
9.714,10.8,0,1100,25
9.918,10.9,0,1100,25
10.161,10.6,0,1100,25
10.379,11.1,0,1100,25
10.569,10.8,0,1100,25
10.785,11.3,0,1100,25
10.988,11.3,0,1100,25
11.235,11.2,0,1100,25
11.422,12.0,0,1100,25
11.646,11.5,0,1100,25
11.885,11.6,0,1100,25
12.079,11.9,0,1100,25
12.316,11.1,0,1100,25
12.502,11.4,0,1100,25
12.727,10.5,0,1100,25
12.926,10.8,0,1100,25
13.154,11.0,0,1100,25
13.39,11.0,0,1100,25
13.576,11.1,0,1100,25
13.834,11.1,0,1100,25
14.01,11.0,0,1100,25
14.251,11.0,0,1100,25
14.467,11.1,0,1100,25
14.656,11.0,0,1100,25
14.869,11.5,0,1100,25
15.105,11.4,0,1100,25
15.305,11.6,0,1100,25
15.536,11.3,0,1100,25
15.738,11.6,0,1100,25
15.951,11.5,0,1100,25
16.168,11.2,0,1100,25
