# Kp=? Ki=? Kd=?
time_s,current_alt_cm,target_alt_cm,pid_thr_ibus,pid_thr_0_255
0.07,5.5,0,,
0.295,5.4,0,1200,51
0.538,5.5,0,1222,56
0.721,5.5,0,1242,61
0.918,5.5,0,1262,66
1.138,5.5,0,1282,71
1.373,5.3,0,1302,77
1.567,5.6,0,1322,82
1.799,5.3,0,1342,87
2.031,5.4,0,1360,91
2.218,5.5,0,1380,96
2.46,5.4,0,1398,101
2.647,5.4,0,1416,106
2.901,5.4,0,1436,111
3.103,5.4,0,1456,116
3.303,5.3,0,1476,121
3.519,5.5,0,1496,126
3.731,5.6,0,1516,131
3.949,5.7,0,1536,136
4.165,4.5,0,1556,141
4.388,5.4,0,1576,146
4.598,7.0,0,1596,151
4.802,7.8,0,1616,157
5.047,9.9,0,1627,159
5.231,11.7,0,1627,159
5.455,12.7,0,1627,159
5.669,12.5,0,1607,154
5.883,14.3,0,1627,159
6.122,16.0,0,1627,159
6.308,18.6,0,1625,159
6.515,19.1,0,1617,157
6.729,20.6,0,1617,157
6.946,20.9,0,1625,159
7.19,21.6,0,1627,159
7.388,21.7,0,1617,157
7.58,21.3,0,1627,159
7.802,21.8,0,1619,157
8.026,22.2,0,1626,159
8.238,22.3,0,1625,159
8.453,22.0,0,1623,158
8.673,21.8,0,1625,159
8.875,22.2,0,1617,157
9.097,21.9,0,1601,153
9.334,22.4,0,1617,157
9.524,22.6,0,1597,152
9.747,22.2,0,1608,155
9.959,22.3,0,1617,157
10.186,21.8,0,1627,159
10.378,21.7,0,1619,157
10.61,22.2,0,1619,157
10.865,21.6,0,1612,156
11.015,21.8,0,1617,157
11.263,21.5,0,1607,154
11.468,21.7,0,1626,159
11.685,21.3,0,1626,159
11.898,21.4,0,1617,157
12.114,21.4,0,1620,158
12.342,21.3,0,1627,159
12.536,22.0,0,1627,159
12.784,21.4,0,1617,157
12.971,21.4,0,1627,159
13.191,21.1,0,1617,157
13.41,21.5,0,1624,159
13.617,20.8,0,1612,156
13.873,19.7,0,1598,152
14.072,19.3,0,1627,159
14.289,18.4,0,1597,152
14.494,17.8,0,1627,159
14.703,17.5,0,1627,159
14.937,16.8,0,1627,159
15.143,16.9,0,1621,158
15.369,17.6,0,1614,156
15.601,19.2,0,1605,154
15.802,20.9,0,1623,158
16.021,21.6,0,1617,157
16.239,22.2,0,1624,159
16.475,22.3,0,1624,159
16.695,22.4,0,1617,157
16.871,22.3,0,1623,158
17.121,22.2,0,1627,159
17.3,22.1,0,1627,159
17.528,22.2,0,1597,152
17.761,21.6,0,1615,156
17.947,20.5,0,1610,155
18.187,18.3,0,1613,156
18.408,16.2,0,1627,159
18.63,14.1,0,1627,159
18.804,12.9,0,1627,159
19.051,11.1,0,1607,154
19.259,9.5,0,1627,159
19.482,10.0,0,1623,158
19.674,7.8,0,1626,159
19.896,4.7,0,1627,159
20.108,4.7,0,1606,154
20.348,4.6,0,1627,159
20.54,4.4,0,1627,159
20.79,4.5,0,1627,159
20.969,4.4,0,1621,158
21.197,4.4,0,1627,159
21.424,4.5,0,1619,157
21.616,4.5,0,1613,156
21.841,4.3,0,1627,159
22.029,4.5,0,1626,159
22.286,4.2,0,1627,159
22.45,4.4,0,1623,158
22.689,4.2,0,1623,158
22.889,4.3,0,1627,159
23.1,4.3,0,1619,157
23.365,4.5,0,1627,159
23.554,4.3,0,1623,158
23.772,4.3,0,1618,157
23.975,4.5,0,1622,158
24.188,4.5,0,1622,158
