# Kp=? Ki=? Kd=?
time_s,current_alt_cm,target_alt_cm,pid_thr_ibus,pid_thr_0_255
0.202,11.1,0,1623,158
0.415,11.2,0,1317,80
0.64,11.3,0,1400,102
0.853,11.5,0,1399,101
1.049,11.5,0,1399,101
1.285,11.7,0,1400,102
1.53,11.6,0,1400,102
1.707,11.3,0,1400,102
1.95,11.4,0,1400,102
2.124,11.4,0,1400,102
2.409,11.4,0,1400,102
2.579,11.6,0,1400,102
2.841,11.4,0,1400,102
2.997,11.7,0,1409,104
3.214,11.6,0,1421,107
3.452,11.6,0,1429,109
3.651,12.1,0,1452,115
3.885,12.1,0,1478,121
4.074,12.1,0,1496,126
4.291,13.7,0,1512,130
4.535,16.4,0,1520,132
4.731,20.5,0,1528,134
4.975,25.2,0,1535,136
5.16,28.0,0,1543,138
5.394,30.2,0,1550,140
5.618,31.7,0,1556,141
5.82,31.7,0,1548,139
6.037,30.9,0,1549,139
6.237,28.7,0,1549,139
6.485,26.9,0,1552,140
6.67,24.6,0,1520,132
6.889,20.8,0,1525,133
7.153,18.0,0,1531,135
7.323,17.2,0,1536,136
7.544,17.8,0,1538,137
7.744,21.7,0,1550,140
7.971,26.8,0,1552,140
8.187,30.7,0,1554,141
8.394,32.5,0,1551,140
8.629,32.9,0,1549,139
8.835,30.3,0,1549,139
9.046,26.7,0,1555,141
9.259,22.8,0,1538,137
9.472,19.0,0,1534,136
9.73,16.9,0,1538,137
9.911,16.3,0,1535,136
10.15,18.0,0,1531,135
10.344,20.0,0,1525,133
10.576,21.4,0,1520,132
10.785,21.0,0,1522,133
10.991,20.1,0,1526,134
11.21,19.3,0,1531,135
11.425,19.4,0,1532,135
11.633,20.7,0,1529,134
11.85,20.7,0,1524,133
12.086,19.4,0,1530,135
12.29,19.9,0,1534,136
