time_s,dx,dy,alt_mm
0.012,0,0,82
0.063,0,0,82
0.099,0,1,82
0.143,-1,0,82
0.182,0,-1,82
0.23,1,1,82
0.255,1,0,82
0.293,0,1,82
0.351,1,0,82
0.375,-1,0,82
0.417,0,1,82
0.467,2,-2,82
0.518,0,0,82
0.551,-1,1,82
0.587,0,-1,82
0.625,0,0,82
0.695,0,0,82
0.719,0,1,82
0.743,0,-1,82
0.794,-2,0,82
0.833,2,0,82
0.891,0,0,82
0.924,1,0,82
0.984,-1,0,82
1.007,0,0,82
1.033,0,1,82
1.094,1,0,82
1.117,0,0,82
1.163,-1,0,82
1.197,0,0,82
1.242,0,0,82
1.286,-1,0,82
1.323,1,0,82
1.367,1,0,82
1.418,-1,0,82
1.445,0,0,82
1.489,0,0,82
1.535,0,0,82
1.588,0,0,82
1.611,0,0,82
1.658,0,-1,82
1.681,0,1,82
1.752,0,0,82
1.774,0,-1,82
1.813,0,1,82
1.876,0,0,82
1.893,0,0,82
1.939,0,0,82
1.988,0,0,82
2.032,-1,0,81
2.057,1,0,81
2.11,3,0,81
2.158,4,0,81
2.206,2,0,81
2.244,0,1,81
2.269,-1,2,81
2.315,-1,-2,81
2.362,3,0,81
2.384,-1,-1,81
2.427,-1,0,81
2.482,1,0,81
2.51,-1,2,81
2.564,0,0,81
2.616,1,-1,82
2.637,0,0,82
2.665,0,2,82
2.709,-1,-2,82
2.765,0,0,82
2.793,0,2,82
2.838,0,-2,82
2.902,0,0,82
2.928,-1,-1,82
2.964,1,2,82
2.994,0,0,81
3.055,-1,-1,81
3.08,0,1,81
3.14,1,-1,81
3.17,-2,1,81
3.206,1,-2,82
3.248,2,0,82
3.293,-1,2,82
3.354,2,-1,82
3.379,-1,-1,82
3.434,-2,1,81
3.449,2,-1,81
3.492,1,0,81
3.538,-2,2,81
3.591,-1,0,81
3.613,2,0,82
3.67,-3,-1,82
3.691,2,0,82
3.768,2,0,82
3.793,-1,1,82
3.823,1,3,82
3.87,1,-2,82
3.894,-1,1,82
3.952,2,0,82
4.034,-1,-1,80
4.034,0,0,80
4.08,0,0,80
4.104,1,1,80
4.154,0,0,80
4.188,0,0,81
4.239,0,0,81
4.273,0,1,81
4.32,0,0,81
4.373,0,0,81
4.395,0,0,82
4.455,0,-1,82
4.477,-2,0,82
4.52,0,1,82
4.57,0,0,82
4.595,0,0,83
4.651,-1,1,83
4.688,0,0,83
4.722,-1,-1,83
4.778,0,1,83
4.803,2,0,82
4.852,0,0,82
4.907,1,0,82
