time_s,dx,dy,alt_mm
0.011,1,0,90
0.034,1,0,90
0.073,0,0,90
0.127,-1,0,90
0.175,0,0,90
0.199,0,0,90
0.276,-1,0,90
0.29,1,0,90
0.335,2,0,90
0.358,-1,0,90
0.412,0,0,90
0.46,0,0,90
0.486,0,0,89
0.542,0,0,89
0.593,0,0,89
0.615,-1,0,89
0.649,1,0,89
0.705,1,1,90
0.728,-1,0,90
0.774,0,0,90
0.837,0,-1,90
0.859,0,0,90
0.892,0,0,90
0.956,0,0,90
0.981,0,0,90
1.016,0,0,90
1.08,1,0,90
1.115,-1,0,90
1.139,1,0,90
1.189,0,0,90
1.223,-1,0,90
1.276,0,0,90
1.339,0,0,91
1.36,-1,0,91
1.385,0,0,91
1.433,1,0,91
1.467,0,0,91
1.528,0,0,90
1.551,0,0,90
1.595,0,0,90
1.644,0,0,90
1.681,0,0,90
1.716,0,0,91
1.76,0,0,91
1.803,0,0,91
1.851,0,0,91
1.885,0,0,91
