time_s,dx,dy,alt_mm
0.009,0,0,91
0.033,0,0,91
0.082,0,0,91
0.121,0,0,91
0.203,0,0,91
0.233,0,0,91
0.233,0,0,91
0.284,0,0,91
0.329,0,0,91
0.374,0,0,91
0.409,0,0,91
0.453,0,0,91
0.481,0,0,91
0.526,0,0,91
0.576,0,0,91
0.612,0,0,91
0.651,0,0,91
0.693,0,0,91
0.734,0,0,91
0.788,0,0,91
0.816,0,0,90
0.861,0,0,90
0.912,0,0,90
0.935,0,0,90
0.978,0,0,90
1.015,0,0,89
1.077,0,1,89
1.099,0,-1,89
1.149,0,0,89
1.195,0,0,89
1.241,0,0,90
1.268,0,0,90
1.313,0,0,90
1.348,0,0,90
1.39,0,0,90
1.449,0,0,91
1.471,0,0,91
1.515,0,0,91
1.564,0,0,91
1.602,0,0,91
1.644,0,0,91
1.678,0,0,91
1.723,0,0,91
1.76,0,0,91
1.808,0,0,90
1.839,0,0,90
1.898,0,0,90
1.92,0,0,90
1.969,0,0,90
2.016,0,0,90
2.049,0,0,90
2.084,0,0,90
2.142,0,0,90
2.175,0,0,90
2.218,0,0,90
2.256,0,0,90
2.292,0,0,90
2.341,0,0,90
2.391,0,1,90
2.415,0,-1,90
2.453,0,0,90
2.518,0,0,90
2.529,0,0,90
2.577,0,0,90
2.621,0,0,91
2.664,0,0,91
