time_s,dx,dy,alt_mm
0.023,0,0,83
0.058,0,0,83
0.118,0,0,83
0.139,0,0,83
0.194,0,0,82
0.242,1,0,82
0.265,-1,0,82
0.328,1,1,82
0.35,-1,-1,82
0.391,1,0,82
0.44,-1,1,82
0.477,0,-1,82
0.524,0,0,82
0.58,0,0,82
0.626,0,0,83
0.66,0,0,83
0.683,0,0,83
0.723,0,0,83
0.778,0,0,83
0.803,0,0,82
0.855,0,0,82
0.888,0,0,82
0.948,0,1,82
0.974,0,-1,82
1.026,0,-1,81
1.049,0,1,81
1.085,0,0,81
1.144,0,0,81
1.167,0,0,81
1.214,0,0,82
1.26,0,1,82
1.318,0,-1,82
1.342,0,0,82
1.398,0,0,82
1.423,0,0,81
1.468,0,0,81
1.49,0,0,81
1.544,0,0,81
1.583,0,0,81
1.616,0,0,81
1.674,0,0,81
1.704,0,0,81
1.752,0,0,81
1.801,0,0,82
1.834,0,0,82
1.862,0,0,82
1.91,0,0,82
1.969,0,0,82
1.99,0,0,81
2.039,0,1,81
2.075,0,-1,81
2.12,0,0,81
