time_s,dx,dy,alt_mm
0.04,1,0,320
0.105,0,0,320
0.126,0,0,320
0.188,0,0,320
0.209,0,0,320
0.261,0,0,321
0.305,1,0,321
0.336,-1,0,321
0.379,-1,0,321
0.41,1,0,321
0.462,1,0,318
0.494,-2,0,318
0.546,0,0,318
0.567,1,0,318
0.622,0,0,318
0.643,0,0,319
0.696,0,0,319
0.728,0,0,319
0.769,0,0,319
0.811,-1,0,319
0.863,0,0,321
0.885,1,0,321
0.94,0,0,321
0.992,-1,0,321
1.012,0,0,321
1.054,1,0,320
1.096,0,0,320
1.127,1,0,320
1.182,0,0,320
1.235,0,0,320
1.267,0,0,322
1.319,0,0,322
1.34,0,0,322
1.393,0,0,322
1.426,0,0,322
1.479,0,0,322
1.5,1,0,322
1.552,0,0,322
1.604,-1,0,322
1.625,0,0,323
1.677,1,0,323
1.709,0,0,323
1.753,-1,0,323
1.785,0,0,323
1.837,-1,0,320
1.878,0,0,320
1.91,1,0,320
1.962,0,0,320
1.995,0,0,320
2.047,1,0,319
2.099,-1,0,319
2.12,0,0,319
2.152,0,0,319
2.194,0,0,319
2.246,0,0,323
2.299,0,0,323
2.321,1,0,323
2.374,0,0,323
2.427,-1,0,323
2.479,0,0,321
2.479,0,0,321
2.533,0,0,321
2.575,0,0,321
2.608,0,0,321
2.661,0,0,322
2.714,0,0,322
2.734,0,0,322
2.786,-2,0,322
2.821,3,0,322
2.873,0,0,319
2.895,-2,0,319
2.947,0,0,319
2.978,0,0,319
3.034,0,0,321
3.055,1,0,321
3.118,0,0,321
3.16,-1,0,321
3.181,1,0,321
3.222,-1,0,321
3.263,0,0,321
3.318,0,0,321
3.36,2,0,321
3.391,-2,0,321
3.444,2,0,322
3.486,-1,0,322
3.518,0,0,322
3.563,-1,0,322
3.615,0,0,322
3.637,0,0,321
3.7,1,0,321
3.731,-1,0,321
3.762,0,0,321
3.825,1,0,321
3.846,0,0,322
3.901,0,0,322
3.943,0,0,322
3.995,0,0,322
4.016,0,0,322
4.058,0,0,322
4.113,0,0,322
4.134,-1,0,322
4.187,0,0,322
4.24,-1,0,322
4.263,1,0,318
4.316,-1,0,318
4.338,1,0,318
4.402,-1,0,318
4.478,0,0,320
4.509,-1,0,320
4.53,0,0,320
4.551,0,0,320
4.604,1,0,320
4.681,0,0,320
4.702,-1,0,320
4.733,1,0,320
4.754,0,0,320
4.816,1,0,320
4.837,0,0,321
4.89,-1,0,321
4.922,0,0,321
4.975,0,0,321
4.995,0,0,321
5.048,0,0,319
5.09,0,0,319
5.111,1,0,319
5.163,1,0,319
5.216,0,0,319
5.271,-1,0,318
5.293,0,1,318
5.345,0,0,318
5.377,-2,-1,318
5.398,1,-4,318
5.506,1,-3,330
5.506,4,3,330
5.526,1,1,330
5.568,5,2,330
5.61,24,0,330
5.662,9,-2,439
5.683,-33,-4,439
5.725,-39,6,439
5.769,-11,13,439
5.811,-3,25,439
5.885,-37,73,482
5.906,-6,48,482
5.938,20,80,482
5.982,24,80,482
6.014,27,76,482
6.056,35,80,329
6.098,25,51,329
6.152,22,13,329
6.185,14,-1,329
6.216,-3,-3,329
6.268,-8,-20,284
6.362,-17,-46,284
6.362,-14,-65,284
6.395,-9,-84,284
6.522,-80,-160,264
6.574,-92,22,264
6.648,-82,126,264
6.756,-7,183,289
6.922,94,113,289
6.974,134,-105,273
7.027,64,-196,273
7.05,24,-222,273
7.093,-2,-211,273
7.145,0,-40,273
7.178,0,-3,257
7.221,-2,0,257
7.288,-2,1,257
7.288,1,6,257
7.35,-14,82,257
7.437,13,132,255
7.447,62,160,255
7.469,136,180,255
7.521,153,131,255
7.563,42,32,255
7.573,37,-3,270
7.616,30,-30,270
7.66,124,-233,270
7.712,80,-399,270
7.765,34,-287,270
7.817,36,-239,273
7.88,73,-375,273
7.911,0,0,273
7.935,0,0,273
7.977,-1,0,273
8.02,0,21,272
8.051,-9,191,272
8.104,26,210,272
8.157,70,217,272
8.201,113,217,276
8.243,82,114,276
8.254,0,1,276
8.305,6,-2,276
8.348,18,-42,276
8.39,60,-158,274
8.443,7,-20,274
8.469,15,-204,274
8.522,-26,-277,274
8.543,-8,-187,274
8.584,12,-20,276
8.64,1,0,276
8.672,2,1,276
8.714,1,0,276
8.755,-25,78,276
8.808,-30,287,274
8.833,-18,290,274
8.885,3,253,274
8.906,-1,62,274
8.958,-3,1,274
8.99,7,-45,277
9.052,29,-248,277
9.075,32,-326,277
9.129,33,-258,277
9.15,10,-66,277
9.285,1,0,277
9.306,0,0,277
9.306,0,1,277
9.33,0,2,277
9.647,622,725,272
9.71,397,64,272
9.963,-424,-233,264
10.175,-219,-164,232
10.289,380,154,232
10.31,178,57,232
10.398,408,49,201
10.503,60,0,201
10.524,-8,10,201
10.599,-389,-133,230
10.63,-138,-80,230
10.682,-147,-96,230
10.735,-168,-116,230
10.766,-114,-71,230
10.839,-62,-41,255
10.891,0,-3,255
10.915,-1,-6,255
10.968,2,-1,255
11.02,25,37,255
11.041,10,13,229
11.14,94,35,229
11.14,123,30,229
11.161,55,-6,229
11.204,0,0,229
11.245,0,-5,250
11.287,-3,3,250
11.318,0,7,250
11.353,2,11,250
11.406,7,6,250
11.458,2,6,253
11.489,5,6,253
11.521,1,3,253
11.563,-4,2,253
11.601,3,0,253
11.685,7,4,128
11.685,50,26,128
11.719,49,42,128
11.773,53,52,128
11.804,14,8,128
11.846,-3,-5,92
11.882,-5,-5,92
11.924,-3,-1,92
11.965,-1,0,92
11.996,-2,0,92
12.038,0,2,210
12.081,0,2,210
12.136,2,2,210
12.189,0,0,210
12.241,0,0,210
12.294,0,-2,250
12.294,0,-2,250
12.338,-1,-5,250
12.373,-6,-4,250
12.415,-2,-2,250
12.459,-1,-2,273
12.512,-2,-2,273
