time_s,dx,dy,alt_mm
0.044,0,-1,165
0.102,0,0,165
0.134,1,0,165
0.161,0,0,165
0.237,1,0,167
0.273,0,0,167
0.3,0,0,167
0.326,0,0,167
0.379,1,0,167
0.422,1,1,166
0.458,0,1,166
0.493,0,1,166
0.545,0,0,166
0.578,1,-5,166
0.659,37,-28,164
0.683,84,-19,164
0.695,81,-10,164
0.767,64,-14,164
0.79,37,-4,164
0.824,18,1,166
0.867,2,1,166
0.923,-5,5,166
0.968,-16,12,166
1.007,-30,10,166
1.04,-23,10,164
1.095,-57,21,164
1.12,-40,13,164
1.155,-43,15,164
1.198,-30,11,164
1.233,-27,10,164
1.289,-19,8,164
1.319,-16,5,164
1.375,-11,1,164
1.426,-1,2,164
1.456,0,1,163
1.483,0,0,163
1.536,0,1,163
1.565,1,-1,163
1.603,1,0,163
1.652,0,-1,164
1.697,-11,2,164
1.733,-3,0,164
1.781,-1,1,164
1.835,-1,2,165
1.846,-2,3,165
1.907,-6,1,165
1.95,-6,4,165
1.987,0,0,165
2.02,1,0,166
2.067,1,0,166
2.104,2,0,166
2.149,0,-2,166
2.201,-1,2,166
2.227,-1,0,167
2.272,0,0,167
2.312,1,0,167
2.35,0,0,167
2.387,0,0,167
2.433,0,0,166
2.49,0,0,166
2.517,-1,0,166
2.564,2,-5,166
2.588,-1,0,166
2.646,2,-3,166
2.678,0,0,166
2.725,1,-1,166
2.766,-1,0,166
2.819,2,0,166
2.843,0,0,166
2.904,0,0,166
2.933,1,0,166
2.957,0,2,166
2.999,1,1,166
3.042,0,0,164
3.096,-1,4,164
3.135,3,-4,164
3.183,1,4,164
3.207,-3,14,164
3.26,-1,2,164
3.292,2,2,164
3.343,1,0,164
3.382,1,1,164
3.429,0,2,165
3.469,0,3,165
3.505,0,1,165
3.563,0,-4,165
3.588,-1,-3,165
3.636,-1,0,164
3.669,0,0,164
3.709,3,21,164
3.747,1,0,164
3.793,1,4,164
3.835,1,0,164
3.883,2,-2,164
3.935,1,0,164
3.963,0,2,164
3.999,1,0,164
4.037,2,1,164
4.093,0,0,164
4.119,1,0,164
4.153,4,0,164
4.204,2,3,164
4.252,1,1,165
4.276,1,1,165
4.339,0,0,165
4.367,1,0,165
4.404,1,0,165
4.456,2,0,165
4.482,1,0,165
4.526,1,0,165
4.573,2,0,165
4.612,3,0,165
4.667,2,1,166
4.695,0,3,166
4.75,0,0,166
4.775,3,-1,166
4.835,1,-1,166
4.846,0,0,165
4.899,1,0,165
4.939,0,0,165
4.985,1,0,165
5.066,0,-1,165
5.066,1,-2,165
5.13,1,-1,165
5.156,0,1,165
5.204,1,-2,165
5.23,-1,0,167
5.277,-1,4,167
5.314,1,-3,167
5.358,0,2,167
5.393,0,-2,167
5.469,1,-1,167
5.491,0,0,167
5.513,0,0,167
5.554,-1,0,167
5.6,-2,2,167
5.64,0,1,165
5.689,0,0,165
5.715,0,0,165
5.775,2,-4,165
5.803,0,0,165
5.85,1,0,166
5.887,2,0,166
5.928,1,0,166
5.977,1,0,166
6.011,2,0,166
6.046,1,0,167
6.093,0,2,167
6.15,0,1,167
6.173,0,1,167
6.228,2,-2,167
6.275,1,-2,166
6.297,0,0,166
6.345,0,0,166
6.412,0,0,166
6.434,0,1,166
6.457,0,0,167
6.511,0,0,167
6.567,0,0,167
6.596,0,0,167
6.642,0,-1,163
6.679,0,0,163
6.722,0,0,163
6.747,0,0,163
6.806,0,0,163
6.829,0,-1,165
6.879,0,0,165
6.919,0,0,165
6.956,0,0,165
7.002,0,0,165
7.053,0,1,162
7.076,0,0,162
7.134,0,0,162
7.176,0,1,162
7.201,-1,2,162
7.248,0,1,166
7.311,0,0,166
7.329,-1,0,166
7.363,0,0,166
7.419,0,0,166
7.453,1,-2,164
7.509,0,1,164
7.527,0,0,164
7.575,0,0,164
7.654,1,-1,164
7.678,0,1,164
7.711,0,0,164
7.737,-1,1,164
7.777,0,0,164
7.835,0,0,164
7.874,0,0,164
7.901,0,0,164
7.947,-1,0,164
7.983,0,0,164
8.047,0,0,164
8.081,0,0,166
8.107,0,0,166
8.157,0,0,166
8.209,0,1,166
8.239,0,0,166
8.261,0,0,166
8.311,0,0,166
8.358,0,0,166
8.396,0,0,166
8.456,0,0,166
8.478,0,0,166
8.526,0,0,166
8.571,0,0,166
8.606,0,0,166
8.663,0,0,165
8.676,0,0,165
8.739,0,0,165
8.764,-2,0,165
8.802,-1,0,165
8.859,0,0,165
8.886,-1,0,165
8.939,0,0,165
8.978,-1,0,165
9.022,0,0,165
9.062,-1,0,165
9.109,0,1,165
9.134,-1,1,165
9.184,0,0,165
9.218,0,-1,165
9.274,0,0,166
9.299,0,0,166
9.352,-1,0,166
9.393,0,0,166
9.428,0,0,166
9.483,0,0,167
9.509,-2,8,167
9.544,0,0,167
9.605,0,0,167
9.633,0,0,167
9.669,0,0,169
9.707,0,0,169
9.754,0,0,169
9.817,0,0,169
9.843,-1,-1,166
9.884,0,-2,166
9.93,0,0,166
9.968,0,0,166
9.99,0,0,166
10.05,-1,0,164
10.089,0,0,164
10.129,0,0,164
10.179,0,0,164
10.211,0,0,164
10.262,0,0,167
10.284,0,0,167
10.368,0,0,167
10.368,0,0,167
10.415,0,0,167
10.463,0,0,167
10.517,0,0,167
10.545,0,0,167
10.595,0,0,167
10.633,0,1,167
10.683,0,0,168
10.706,2,4,168
10.739,2,1,168
10.789,0,1,168
10.846,3,0,168
10.873,2,2,165
10.91,4,0,165
10.96,4,4,165
11.013,3,1,165
11.025,2,0,165
11.084,3,1,167
11.109,2,6,167
11.147,3,6,167
11.2,3,-1,167
11.227,2,2,167
11.297,2,0,168
11.321,4,1,168
11.369,3,-1,168
11.396,1,1,168
11.451,0,2,167
11.504,1,0,167
11.526,1,0,167
11.564,1,0,167
11.617,2,0,167
11.642,1,0,167
11.693,2,1,167
11.726,1,0,167
11.768,1,0,167
11.816,0,3,167
11.853,-1,3,165
11.89,-1,4,165
11.937,-1,0,165
11.993,0,0,165
12.016,-2,0,165
12.077,-2,1,164
12.101,0,0,164
12.134,0,1,164
12.191,-1,0,164
12.23,-1,2,164
12.265,-1,0,164
12.308,-2,1,164
12.346,0,0,164
12.405,0,0,164
12.42,1,1,164
12.487,0,0,164
12.525,0,0,164
12.566,0,0,164
12.592,0,0,164
12.632,1,0,164
12.67,0,-1,163
12.73,0,0,163
12.752,0,0,163
12.819,1,-2,163
12.838,0,0,163
12.896,0,-1,163
12.918,0,0,163
12.966,0,-2,163
13.0,0,0,163
13.053,0,-1,163
13.094,0,0,163
13.15,0,-1,163
13.179,0,0,163
13.226,0,0,163
13.271,0,0,163
13.293,1,-1,163
13.343,0,0,163
13.368,0,0,163
13.423,0,-1,163
13.457,0,0,163
13.505,0,0,163
13.552,2,-1,163
13.576,0,0,163
13.627,0,0,163
13.664,0,0,165
13.699,0,0,165
13.754,-1,0,165
13.794,0,-1,165
13.83,0,0,165
13.878,0,0,164
13.912,0,0,164
13.95,0,0,164
13.991,0,-1,164
14.045,0,0,164
14.071,0,0,165
14.121,0,0,165
14.166,0,-1,165
14.188,0,0,165
14.24,0,0,165
14.3,0,0,166
14.321,0,1,166
14.359,0,0,166
14.411,0,0,166
14.434,0,0,166
14.501,0,0,166
14.525,0,0,166
14.577,0,1,166
14.62,0,0,166
14.668,0,0,165
14.683,0,0,165
14.735,0,-1,165
14.788,0,0,165
14.812,0,0,165
14.872,0,0,163
14.895,0,0,163
14.951,0,0,163
14.978,0,0,163
15.046,0,0,163
15.092,0,0,165
15.105,0,0,165
15.144,0,0,165
15.188,0,0,165
15.228,0,0,165
15.275,0,0,165
15.312,-1,0,165
15.363,0,0,165
15.393,0,-1,165
15.444,0,0,165
15.467,0,0,164
15.517,0,0,164
15.558,0,0,164
15.609,0,0,164
15.638,0,0,164
15.682,0,0,165
15.739,0,0,165
15.764,0,0,165
15.811,0,0,165
15.862,0,-1,165
15.873,0,0,165
15.933,0,0,165
15.982,0,0,165
16.008,0,0,165
16.076,0,0,165
16.101,0,0,165
16.135,0,0,165
16.181,0,1,165
16.215,0,0,165
16.266,0,1,166
16.293,0,0,166
16.351,-1,1,166
16.376,0,0,166
16.426,0,0,166
16.458,0,0,165
16.53,1,0,165
16.541,0,0,165
16.58,0,0,165
16.627,0,1,165
16.685,0,0,165
16.714,1,0,165
16.743,0,0,165
16.793,0,0,165
16.825,0,0,165
16.873,0,0,165
16.911,0,0,165
16.961,0,0,165
17.001,0,0,165
17.041,0,0,165
17.08,0,0,164
17.136,0,-1,164
17.168,0,0,164
17.217,0,0,164
17.24,0,0,164
17.279,0,0,166
17.33,0,0,166
17.379,0,-1,166
17.42,1,0,166
17.443,0,0,166
17.498,0,0,164
17.532,0,0,164
17.581,0,0,164
17.614,0,0,164
17.664,0,0,164
17.69,0,0,163
17.738,0,0,163
17.779,0,0,163
17.831,0,0,163
17.881,0,0,162
17.904,-1,-1,162
17.962,0,0,162
17.987,0,0,162
18.022,0,0,162
18.08,0,0,163
18.106,0,0,163
18.158,0,1,163
18.181,0,0,163
18.247,0,0,163
18.286,0,0,164
18.321,0,0,164
18.369,0,0,164
18.396,0,0,164
18.433,0,0,164
18.496,0,-1,165
18.508,1,1,165
18.559,0,0,165
18.622,0,0,165
18.647,0,0,165
18.671,-1,-1,165
18.726,0,0,165
18.768,0,0,165
18.818,0,-1,165
18.844,0,-2,165
18.883,-1,0,164
18.933,0,0,164
18.985,0,-4,164
19.018,-1,0,164
