time_s,dx,dy,alt_mm
0.032,0,0,64
0.074,0,0,64
0.112,0,0,64
0.156,0,0,64
0.2,0,0,64
0.256,0,0,64
0.277,0,0,62
0.336,0,0,62
0.364,0,0,62
0.4,0,0,62
0.454,0,0,62
0.491,0,0,62
0.523,0,0,62
0.57,0,0,62
0.615,0,0,62
0.64,0,0,62
0.703,0,0,62
0.724,0,0,62
0.775,0,0,62
0.813,0,0,62
0.846,0,0,62
0.89,0,0,62
0.951,0,0,62
0.972,0,0,62
1.011,0,0,62
1.05,0,0,62
1.151,0,1,62
1.151,0,0,62
1.18,0,-1,62
1.228,0,1,62
1.285,0,0,63
1.3,0,0,63
1.356,0,0,63
1.39,0,0,63
1.445,0,0,63
1.484,0,-1,63
1.513,0,0,63
1.559,0,0,63
1.593,0,0,63
1.651,0,0,63
1.688,0,0,63
1.711,0,0,63
1.773,0,0,63
1.818,0,0,63
1.841,0,0,63
1.876,0,0,62
1.929,0,0,62
1.961,0,0,62
2.013,0,0,62
2.047,0,0,62
2.086,0,0,63
2.121,0,0,63
2.184,0,0,63
2.218,0,0,63
2.252,0,0,63
2.284,0,0,61
2.333,0,0,61
2.388,0,0,61
2.427,0,0,61
2.456,-1,0,61
2.506,0,0,63
2.545,0,0,63
2.595,0,0,63
2.634,0,0,63
2.672,0,0,63
2.699,0,0,63
2.759,0,0,63
2.786,0,0,63
2.819,0,0,63
2.877,0,0,63
2.923,0,0,63
2.947,0,0,63
2.989,0,0,63
3.04,0,0,63
3.073,0,0,63
3.113,0,0,63
3.156,0,0,63
3.193,0,0,63
3.249,0,0,63
3.29,0,0,63
3.324,0,0,63
3.363,0,0,63
3.421,0,0,63
3.456,0,0,63
3.477,0,0,62
3.519,0,0,62
3.581,0,0,62
3.633,0,0,62
3.655,0,0,62
3.701,0,0,62
3.739,0,0,62
3.774,0,0,62
3.819,0,0,62
3.852,1,0,62
3.899,0,0,62
3.954,0,0,62
3.976,0,1,62
4.033,0,0,62
4.068,0,0,62
4.103,0,0,63
4.15,0,0,63
4.201,0,0,63
4.225,0,1,63
4.275,0,-1,63
4.319,0,1,62
4.366,0,-1,62
4.388,0,0,62
4.446,0,0,62
4.47,0,0,62
4.508,0,0,62
4.553,0,0,62
4.6,0,1,62
4.633,0,0,62
4.706,0,-1,61
4.73,0,1,61
4.753,0,0,61
4.799,0,0,61
4.847,0,-1,61
4.881,0,0,62
4.932,0,1,62
4.964,0,-1,62
5.007,0,1,62
5.068,0,-1,62
5.103,0,0,62
5.138,0,0,62
5.184,0,-1,62
5.207,0,1,62
5.259,0,-1,62
5.3,0,0,62
5.344,0,0,62
5.376,0,0,62
5.41,0,0,62
5.468,0,0,62
5.506,0,0,62
5.555,0,0,62
5.58,0,0,62
5.632,0,0,62
5.658,0,0,62
5.705,0,0,62
5.76,0,0,62
5.784,0,1,62
5.841,0,-1,62
5.866,0,0,62
5.903,0,0,63
5.951,0,0,63
5.999,0,0,63
6.029,0,0,63
6.099,0,0,62
6.134,0,0,62
6.165,0,1,62
6.213,0,-1,62
6.239,0,0,62
6.316,0,0,62
6.339,0,0,62
6.377,0,0,62
6.405,0,1,62
6.45,0,0,62
6.49,0,0,62
6.525,0,0,62
6.581,0,-1,62
6.627,0,0,62
6.649,0,0,62
6.695,0,0,62
6.73,0,1,62
6.778,0,0,62
6.81,0,0,62
6.861,0,0,62
