time_s,dx,dy,alt_mm
0.035,0,0,88
0.095,0,2,88
0.128,0,-2,88
0.173,0,0,88
0.208,0,1,88
0.253,0,0,88
0.299,0,0,88
0.324,0,1,88
0.365,-1,-1,88
0.399,1,0,88
0.447,0,1,88
0.504,0,-1,88
0.525,-1,0,88
0.584,0,1,88
0.623,1,-1,88
0.649,0,0,88
0.707,0,0,88
0.729,0,-1,88
0.774,-1,0,88
0.836,0,1,88
0.861,1,-1,88
0.885,0,1,88
0.942,0,0,88
0.97,1,-1,88
1.038,0,0,88
1.059,-3,0,87
1.098,2,0,87
1.145,0,0,87
1.201,1,1,87
1.226,-1,0,87
1.275,0,0,86
1.307,0,2,86
1.342,-1,-3,86
1.401,0,1,86
1.445,0,-1,86
1.488,2,1,88
1.551,-1,-1,88
1.564,0,1,88
1.602,0,-1,88
1.655,0,0,88
1.678,0,2,88
1.717,0,-1,88
1.78,-1,-1,88
1.803,0,0,88
1.839,0,0,88
1.876,1,1,87
1.916,0,0,87
1.965,-1,-1,87
2.027,0,1,87
2.05,0,-1,87
2.086,1,0,86
2.151,0,0,86
2.162,0,0,86
2.213,0,0,86
2.261,-1,0,88
2.312,1,1,88
2.339,0,2,88
2.385,0,-2,88
2.417,0,0,88
2.469,0,0,88
2.506,0,-1,88
2.543,0,0,88
2.577,1,0,88
2.627,-1,0,88
2.681,0,2,87
2.691,0,-1,87
2.749,0,0,87
2.779,-1,0,87
2.831,1,0,87
2.867,0,0,87
2.906,0,-1,87
2.944,0,1,87
2.997,0,1,87
3.048,0,0,87
3.096,0,-2,87
3.123,0,1,87
3.159,0,1,87
3.181,0,0,87
3.233,0,0,87
3.291,0,0,87
3.324,0,-1,87
3.351,0,0,87
3.409,0,0,87
3.437,0,0,87
3.483,0,-1,87
3.528,0,1,87
3.561,0,0,87
3.61,1,-1,87
3.645,-1,0,87
3.678,0,0,88
3.731,0,0,88
3.757,0,0,88
3.814,0,1,88
3.866,0,-1,88
3.893,0,0,89
3.942,0,0,89
3.976,0,1,89
4.039,0,0,89
4.061,0,0,89
4.083,0,0,88
4.154,0,0,88
4.187,0,-1,88
4.216,0,1,88
4.289,0,0,88
4.289,0,0,88
4.342,0,-1,88
4.399,0,1,88
4.422,0,0,88
4.481,0,-1,88
4.508,0,1,88
4.552,-1,0,88
4.574,0,0,88
4.626,1,0,88
4.677,0,0,87
4.703,0,0,87
4.746,-1,-1,87
4.78,1,0,87
4.838,0,1,87
4.879,0,-1,87
4.904,1,2,87
4.957,-1,-2,87
5.015,0,3,87
5.036,0,-2,87
5.086,1,0,89
5.133,0,1,89
5.192,-2,-1,89
5.192,2,0,89
5.249,-1,1,89
5.27,1,-1,88
5.325,0,0,88
5.38,-1,-1,88
5.402,-1,0,88
5.468,1,1,88
5.489,0,0,88
5.545,0,-1,88
5.558,0,0,88
5.611,0,1,88
5.67,1,-1,88
5.735,0,1,87
5.746,-1,0,87
5.816,0,-1,87
5.855,1,3,87
5.881,0,-3,87
5.936,-1,0,87
5.967,0,1,87
6.018,0,0,87
6.039,0,1,87
6.094,1,-1,88
6.12,-1,-2,88
6.161,0,2,88
6.222,0,0,88
6.255,0,0,88
6.296,0,0,87
6.347,1,0,87
6.368,0,0,87
6.44,-1,0,87
6.44,0,-1,87
6.488,1,1,87
6.532,0,1,87
6.577,-1,-2,87
6.614,0,0,87
6.662,0,2,87
6.704,0,-1,87
6.727,0,-1,87
6.783,0,0,87
6.812,0,1,87
6.871,0,-1,87
6.899,0,1,87
6.959,0,0,87
6.983,2,0,87
7.045,-1,0,87
7.143,0,0,87
7.143,0,0,87
7.164,0,0,87
7.201,0,2,87
7.254,0,0,87
7.268,0,-2,87
7.315,0,1,87
7.349,0,0,87
7.394,0,-1,87
7.434,1,1,87
7.491,0,0,86
7.504,0,0,86
7.554,0,0,86
7.601,0,1,86
7.637,0,1,86
7.675,0,1,87
7.722,0,-3,87
7.757,1,-1,87
7.816,0,2,87
7.841,0,0,87
