time_s,dx,dy,alt_mm
0.036,0,1,62
0.058,0,-1,62
0.104,0,0,62
0.152,-1,0,62
0.194,1,-1,62
0.234,0,1,62
0.267,0,-1,62
0.326,0,0,62
0.354,0,0,62
0.401,0,0,62
0.437,0,0,61
0.473,0,0,61
0.535,0,0,61
0.559,0,0,61
0.617,0,0,61
0.641,0,0,61
0.688,0,0,61
0.73,0,0,61
0.788,0,0,61
0.81,0,0,61
0.86,0,0,61
0.884,0,0,61
0.939,0,0,61
0.972,0,0,61
1.019,0,0,62
1.08,0,0,62
1.093,0,0,62
1.138,0,0,62
1.175,0,0,62
1.226,0,0,62
1.258,0,0,62
1.318,0,0,62
1.345,0,0,62
1.398,0,0,62
1.424,0,0,62
1.468,0,0,62
1.502,0,0,62
1.548,0,0,62
1.594,0,0,62
1.631,0,0,61
1.691,0,0,61
1.726,0,0,61
1.75,0,0,61
1.797,0,0,61
1.842,0,0,61
1.882,0,0,61
1.913,0,0,61
1.962,0,0,61
2.022,0,0,61
2.043,0,0,62
2.094,0,0,62
2.127,0,0,62
2.174,0,0,62
2.212,0,0,62
2.243,0,0,63
2.288,0,0,63
2.344,0,0,63
2.368,0,0,63
2.428,0,0,63
2.456,0,0,62
2.494,0,0,62
2.534,0,0,62
2.588,0,0,62
2.62,0,0,62
2.657,0,0,62
2.696,0,0,62
2.743,0,0,62
2.79,0,0,62
2.901,0,0,62
2.901,0,0,62
2.901,0,0,62
2.948,0,0,62
2.984,0,0,62
3.027,0,0,62
3.071,0,0,62
3.123,0,0,62
3.156,0,0,62
3.201,0,0,62
3.235,0,0,62
3.27,0,0,62
3.321,0,0,62
3.377,0,0,62
3.402,0,0,62
3.438,0,0,60
3.495,0,0,60
3.518,0,0,60
3.571,0,0,60
3.612,0,0,60
3.648,-1,0,62
3.692,0,1,62
3.738,0,-1,62
3.763,0,0,62
3.82,1,0,62
3.853,0,0,62
3.9,0,0,62
3.925,0,0,62
3.985,0,0,62
4.018,0,0,62
4.066,0,0,60
4.089,0,0,60
4.135,0,0,60
4.19,0,0,60
4.237,0,0,61
4.259,0,0,61
4.314,0,0,61
4.362,0,0,61
4.398,0,0,61
4.433,0,0,62
4.478,0,0,62
4.51,0,0,62
4.555,0,0,62
4.614,0,0,62
4.664,0,0,63
4.686,0,0,63
4.721,0,0,63
4.757,0,0,63
4.815,0,0,63
4.842,0,0,63
4.88,0,0,63
4.918,0,0,63
4.977,0,0,63
5.013,0,0,63
5.04,0,0,63
5.089,0,0,63
5.121,0,0,63
5.171,0,0,63
5.217,-1,0,63
5.254,0,0,62
5.289,0,0,62
5.342,0,0,62
5.398,0,0,62
5.42,0,1,62
5.453,0,-1,63
5.518,0,0,63
5.529,0,0,63
5.595,0,0,63
5.62,0,0,63
5.678,0,0,63
5.7,0,0,63
5.757,0,0,63
5.778,1,0,63
5.824,0,0,63
5.887,0,0,63
5.919,0,0,63
5.941,0,0,63
5.995,0,0,63
6.033,0,0,62
6.092,0,0,62
6.116,0,0,62
6.162,0,0,62
6.194,0,0,62
6.251,0,0,62
6.288,0,0,62
6.325,0,0,62
6.377,0,0,62
6.4,0,0,62
6.457,0,0,63
6.478,0,0,63
6.534,0,0,63
6.586,0,0,63
6.618,0,0,63
6.643,0,0,63
6.702,0,0,63
6.737,0,0,63
6.795,0,0,63
6.818,0,0,63
6.876,0,-1,62
6.898,0,0,62
6.945,0,0,62
6.985,0,0,62
7.025,0,0,62
7.08,0,0,62
7.09,0,0,62
7.138,0,0,62
7.204,0,0,62
7.226,0,0,62
7.264,0,0,63
7.313,0,0,63
7.368,0,0,63
7.39,0,0,63
7.447,0,0,62
7.473,0,0,62
7.512,0,0,62
7.572,0,0,62
7.598,0,0,62
7.637,0,0,60
7.669,0,0,60
7.728,0,0,60
7.752,0,0,60
7.8,0,0,60
7.86,0,0,61
7.883,0,0,61
7.942,0,0,61
7.963,0,0,61
8.014,0,0,61
8.058,0,0,62
8.095,0,0,62
8.117,0,0,62
8.163,0,0,62
8.222,0,0,62
8.245,0,0,62
8.317,0,0,62
8.34,0,0,62
8.388,0,0,62
8.409,0,0,62
8.453,0,0,62
8.502,0,0,62
8.538,0,0,62
8.593,0,0,62
8.637,0,0,62
8.695,0,0,62
8.719,0,0,62
8.752,0,0,62
8.79,0,0,62
8.836,0,1,62
8.86,0,0,62
8.911,0,0,62
8.96,0,0,62
8.982,0,0,62
9.043,0,0,62
9.088,0,0,62
9.112,0,0,62
9.169,0,0,62
9.192,0,0,62
9.25,0,0,63
9.295,0,0,63
9.32,0,0,63
9.375,0,0,63
9.428,0,0,63
9.44,0,0,62
9.49,0,0,62
9.528,0,0,62
9.564,0,0,62
9.624,0,0,62
9.661,0,0,63
9.702,0,0,63
9.738,0,0,63
9.793,0,0,63
9.82,0,0,63
9.868,0,0,61
9.893,0,0,61
9.93,0,0,61
9.976,0,0,61
10.023,0,0,61
10.058,0,0,61
10.12,0,0,61
10.143,0,0,61
10.176,0,0,61
10.231,0,0,61
10.277,0,0,63
10.301,0,-1,63
10.352,0,0,63
10.392,0,0,63
10.437,0,0,63
10.489,0,0,63
10.512,0,0,63
10.56,0,0,63
10.616,0,0,63
10.639,0,0,62
10.679,0,0,62
10.727,0,0,62
10.766,0,0,62
10.805,0,0,62
