time_s,dx,dy,alt_mm
0.021,0,1,62
0.065,0,1,62
0.112,0,-1,62
0.146,0,-1,62
0.182,-1,0,62
0.23,1,2,62
0.277,0,-1,62
0.325,0,0,62
0.347,0,1,62
0.409,0,1,62
0.434,0,-2,62
0.472,0,0,62
0.506,0,0,62
0.552,1,0,62
0.592,-1,0,61
0.624,0,0,61
0.683,0,1,61
0.707,0,0,61
0.754,0,-2,61
0.807,0,0,60
0.83,0,0,60
0.88,0,0,60
0.927,0,0,60
0.984,0,0,60
1.035,0,0,63
1.056,0,0,63
1.089,0,0,63
1.148,0,0,63
1.171,0,0,63
1.207,0,0,61
1.256,0,0,61
1.289,0,0,61
1.339,0,0,61
1.393,0,0,61
1.412,0,0,62
1.458,0,0,62
1.512,0,0,62
1.534,0,0,62
1.602,0,0,62
1.624,0,0,61
1.657,0,0,61
1.705,0,0,61
1.736,0,0,61
1.796,0,0,61
1.845,0,0,61
1.867,0,0,61
1.905,0,0,61
1.951,0,0,61
1.983,0,0,62
2.036,0,0,62
2.07,0,0,62
2.116,0,0,62
2.162,0,0,62
2.197,0,0,61
2.242,0,0,61
2.304,0,0,61
2.316,0,0,61
2.363,0,0,61
2.412,0,0,62
2.461,0,0,62
2.485,0,0,62
2.542,0,0,62
2.557,0,0,62
2.612,0,0,63
2.649,0,0,63
2.696,0,0,63
2.727,0,0,63
2.786,0,0,63
2.812,0,0,63
2.868,0,0,63
2.892,0,0,63
2.941,0,0,63
2.981,1,0,63
3.029,-1,0,61
3.076,0,0,61
3.105,0,0,61
3.152,0,0,61
3.186,0,0,61
3.238,0,0,61
3.26,0,0,61
3.301,0,0,61
3.357,0,0,61
3.41,0,0,62
3.445,0,0,62
3.468,0,0,62
3.512,0,0,62
3.566,0,0,62
3.603,0,0,62
3.652,0,0,62
3.674,0,0,62
3.724,0,0,62
3.767,0,0,62
3.797,0,0,63
3.841,0,0,63
3.877,0,0,63
3.923,0,0,63
3.99,0,0,63
4.037,0,0,62
4.059,0,0,62
4.095,0,0,62
4.13,0,0,62
