time_s,dx,dy,alt_mm
0.011,0,-1,82
0.036,0,0,82
0.088,0,1,82
0.133,0,1,82
0.157,0,-2,82
0.225,0,0,82
0.247,-1,-2,82
0.271,0,2,82
0.329,-1,-2,82
0.382,1,1,82
0.404,0,1,82
0.439,-1,0,82
0.488,1,-1,82
0.529,0,0,82
0.588,0,-1,82
0.611,0,0,82
0.649,0,0,82
0.7,0,0,82
0.725,0,0,82
0.787,0,1,82
0.809,0,0,82
0.859,0,-1,82
0.893,0,0,82
0.944,0,0,82
0.987,1,2,82
1.038,-1,-1,82
1.067,1,1,82
1.094,-1,-2,82
1.15,0,-1,81
1.182,0,2,81
1.233,0,0,81
1.276,-1,-1,81
1.311,1,0,81
1.36,1,0,81
1.394,-2,0,81
1.439,0,-1,81
1.473,2,1,81
1.543,-1,-1,81
1.543,-1,0,81
1.606,2,1,81
1.632,0,1,81
1.676,1,-4,81
1.709,1,2,82
1.762,-3,-12,82
1.798,1,2,82
1.83,-4,11,82
1.88,0,7,82
1.918,8,13,87
1.963,-8,6,87
2.016,-13,-4,87
2.041,11,-3,87
2.089,5,3,87
2.123,12,27,104
2.159,-19,3,104
2.216,7,3,104
2.268,32,5,104
2.291,16,4,104
2.328,-1,0,135
2.388,2,1,135
2.456,0,-4,135
2.456,0,3,135
2.516,2,-1,135
2.529,1,1,156
2.586,0,-1,156
2.625,-6,0,156
2.647,-1,0,156
2.715,-1,1,156
2.768,8,1,156
2.801,-4,-2,156
2.828,-4,10,156
2.884,-2,8,156
2.906,7,-7,156
2.944,16,-3,143
2.99,0,1,143
3.026,15,8,143
3.083,0,-2,143
3.117,12,6,130
3.168,-1,5,130
3.201,-1,0,130
3.247,-2,0,130
3.271,-10,-6,130
3.326,-6,4,124
3.348,-7,-2,124
3.397,-9,4,124
3.429,-1,2,124
3.482,-24,4,124
3.557,2,0,135
3.583,-3,1,135
3.593,-10,-19,135
3.64,4,-1,135
3.674,-2,-13,135
3.769,11,-57,143
3.769,6,-45,143
3.806,9,-36,143
3.852,11,-34,143
3.902,3,-21,143
3.927,-2,-10,145
3.982,5,-8,145
4.011,13,-13,145
4.065,-7,-5,145
4.091,1,-3,145
4.157,-1,-4,137
4.18,-8,0,137
4.203,7,29,137
4.265,23,18,137
4.286,9,24,137
4.336,19,49,110
4.374,4,19,110
4.437,16,70,110
4.461,24,50,110
4.507,-3,6,110
4.558,3,3,89
4.581,5,16,89
4.628,-4,6,89
4.663,3,20,89
4.707,2,18,89
4.739,18,-5,90
4.804,9,6,90
4.831,1,-13,90
4.876,3,13,90
4.937,6,-2,123
4.979,-26,11,123
5.003,7,-7,123
5.04,10,-1,123
5.083,2,2,123
5.107,1,-1,146
5.157,3,0,146
5.212,0,0,146
5.236,-1,0,146
5.298,-1,-1,146
