time_s,dx,dy,alt_mm
0.01,0,0,91
0.042,0,0,91
0.094,0,1,91
0.145,0,-1,91
0.187,0,0,91
0.223,0,1,91
0.267,0,0,90
0.294,0,-1,90
0.341,0,0,90
0.381,0,0,90
0.414,0,1,90
0.474,0,-1,92
0.509,0,0,92
0.544,0,0,92
0.605,0,0,92
0.627,0,0,92
0.683,0,0,90
0.715,0,0,90
0.75,0,0,90
0.786,0,0,90
0.832,0,0,90
0.883,0,0,90
0.919,0,0,90
0.965,0,0,90
0.988,0,0,90
1.037,0,0,91
1.088,0,0,91
1.121,0,0,91
1.154,0,0,91
1.199,0,0,91
1.231,0,0,90
1.289,0,0,90
1.335,0,0,90
1.359,0,0,90
1.413,0,0,90
1.438,0,0,90
1.498,0,0,90
