time_s,dx,dy,alt_mm
0.013,-2,0,80
0.052,0,0,80
0.087,1,0,80
0.136,0,0,80
0.183,1,0,80
0.207,-2,0,80
0.257,3,0,80
0.307,-2,0,80
0.332,1,0,80
0.396,0,0,80
0.425,-2,0,80
0.474,0,0,80
0.524,0,1,80
0.55,2,-1,80
0.593,1,0,80
0.632,-2,1,80
0.68,0,-1,80
0.705,2,0,80
0.757,-3,0,80
0.814,0,0,79
0.835,2,0,79
0.871,-2,1,79
0.923,1,-1,79
0.946,2,0,79
1.005,-2,0,79
1.052,0,0,79
1.101,1,0,79
1.136,1,0,79
1.173,1,0,79
1.197,0,0,79
1.246,-2,0,79
1.284,0,0,79
1.336,0,0,79
1.361,0,0,79
1.421,-1,0,79
1.447,0,0,79
1.501,2,0,79
1.534,-2,0,79
1.562,1,0,79
1.615,0,0,79
1.651,0,0,79
1.703,0,0,79
1.732,0,0,79
1.781,-1,0,80
1.805,1,0,80
1.857,-1,1,80
1.914,-1,0,80
1.926,2,-1,80
1.982,-2,1,80
2.04,1,0,80
2.065,1,0,80
2.122,-1,0,80
2.148,-1,0,80
2.193,1,-1,79
2.217,3,0,79
2.269,-4,1,79
2.302,1,0,79
2.347,-1,0,79
2.432,0,-1,80
2.432,3,0,80
2.482,-1,0,80
2.507,-2,1,80
2.557,1,-1,79
2.593,-1,1,79
2.638,1,0,79
2.675,0,0,79
2.738,1,0,79
2.762,-1,0,79
2.808,0,0,79
2.835,1,-1,79
2.882,-3,2,79
2.933,3,-1,79
2.96,-2,0,80
3.01,1,0,80
3.062,1,-1,80
3.088,-2,0,80
3.154,1,0,80
3.201,1,0,79
3.201,-2,1,79
3.264,0,0,79
3.281,1,0,79
3.33,1,0,79
3.385,-1,0,81
3.419,1,-1,81
3.454,0,0,81
3.507,-2,0,81
3.533,0,1,81
3.583,3,-1,79
3.631,-3,0,79
3.657,3,0,79
3.698,0,0,79
3.757,-3,0,79
3.795,1,0,79
3.82,2,1,79
3.864,-4,1,79
3.909,2,-1,79
3.934,0,-1,79
3.99,0,0,79
4.026,0,0,79
4.074,1,0,79
4.114,-1,1,79
4.167,2,-1,79
4.2,0,0,79
4.256,-3,0,79
4.28,3,0,79
4.333,0,0,79
4.357,-3,1,80
4.418,2,-1,80
4.448,-2,0,80
4.474,0,0,80
4.52,2,0,80
4.569,-2,1,79
4.62,0,0,79
4.645,1,0,79
4.69,1,0,79
4.725,-2,0,79
4.756,0,0,79
4.804,2,-1,79
4.853,-2,1,79
4.889,3,-1,79
4.927,0,0,79
4.987,-3,1,79
5.034,1,-1,79
5.051,2,0,79
5.109,-3,1,79
5.136,1,-1,79
5.175,2,0,79
5.237,-3,1,79
5.26,2,0,79
5.309,2,-1,79
5.338,-4,1,79
5.387,2,-1,80
5.416,-2,1,80
5.464,0,0,80
5.52,2,0,80
5.547,1,0,80
5.616,-3,0,80
5.632,2,-1,80
5.667,-2,0,80
5.715,0,0,80
5.747,0,0,80
5.807,0,1,79
5.834,0,0,79
5.874,1,-1,79
5.913,0,0,79
5.951,-1,0,79
5.987,3,0,79
6.033,0,1,79
6.097,-3,0,79
6.131,2,-1,79
6.177,-1,0,80
6.199,-1,1,80
6.243,3,-1,80
6.292,-1,1,80
6.321,-1,0,80
6.377,1,0,79
6.4,1,-1,79
6.473,-3,0,79
6.483,2,0,79
6.539,0,0,79
6.589,-2,0,79
6.605,3,0,79
6.657,-2,0,79
6.699,-1,1,79
6.743,3,-1,79
6.769,-2,0,80
6.826,-1,0,80
6.85,2,0,80
6.904,-1,1,80
6.932,-1,0,80
6.982,3,-1,79
7.036,-2,0,79
7.06,-1,1,79
7.114,2,0,79
7.138,-1,0,79
7.186,0,-1,79
7.229,0,1,79
7.262,-1,0,79
7.314,0,0,79
7.348,0,0,79
7.405,0,0,80
7.427,1,-1,80
7.468,1,0,80
7.504,0,1,80
7.558,-2,0,80
7.595,2,0,80
7.639,-1,0,80
7.689,-1,0,80
7.71,2,-1,80
7.761,-1,1,80
7.805,-1,0,80
7.853,3,-1,80
7.876,-3,0,80
7.932,1,0,80
7.957,1,0,79
8.014,-2,1,79
8.061,0,0,79
8.087,2,0,79
8.136,-1,0,79
8.172,-1,0,80
8.209,2,0,80
8.263,1,-1,80
8.295,-3,0,80
8.338,3,0,80
8.407,-3,1,79
8.418,0,0,79
8.468,3,0,79
8.495,-2,0,79
8.556,-1,0,79
8.583,2,0,80
8.617,1,-1,80
8.681,-1,0,80
8.716,-1,0,80
8.739,1,0,80
8.795,-2,1,79
8.819,3,-1,79
8.865,-2,0,79
8.909,-1,1,79
8.952,3,-1,79
9.003,-2,0,80
9.029,-1,1,80
9.083,2,-1,80
9.112,1,0,80
9.162,-2,0,80
9.216,2,0,79
9.241,-1,0,79
9.276,-2,1,79
9.315,2,-1,79
9.353,-2,1,79
9.424,1,0,80
9.451,1,-1,80
9.498,1,1,80
9.528,-3,0,80
9.593,1,0,80
9.593,0,0,80
9.651,-1,-1,80
9.692,3,0,80
9.727,-2,0,80
9.79,0,0,78
9.831,2,0,78
9.857,-3,1,78
9.881,0,0,78
9.939,2,-1,78
9.964,0,0,80
10.014,-2,1,80
10.047,2,0,80
10.107,-2,0,80
10.157,0,0,80
10.18,2,-1,77
10.231,-1,1,77
10.258,-1,0,77
10.294,2,-1,77
10.352,-2,0,77
10.382,0,0,78
10.42,3,0,78
10.475,-3,0,78
10.518,0,1,78
10.554,2,0,78
10.598,-2,0,79
10.622,0,0,79
10.68,1,0,79
10.714,-1,0,79
10.763,0,0,79
10.802,2,0,80
10.853,-1,0,80
10.876,-1,0,80
10.927,1,0,80
10.955,-1,0,80
11.012,0,0,80
11.039,1,-1,80
11.082,0,1,80
11.127,0,0,80
11.152,1,0,79
11.205,-2,0,79
11.244,0,0,79
11.28,0,0,79
11.335,3,-1,79
11.363,-3,0,79
11.41,2,0,79
11.458,0,0,79
11.485,-1,0,79
11.522,2,0,79
11.572,-3,0,80
11.625,0,1,80
11.65,2,0,80
11.71,1,0,80
11.734,-3,0,80
11.767,2,-1,80
11.821,2,0,80
11.847,-3,0,80
11.902,-1,0,80
11.941,3,0,80
11.99,-3,1,79
12.027,2,-1,79
12.088,0,1,79
12.103,0,0,79
12.16,-2,0,79
12.191,1,0,79
12.227,-1,0,79
12.267,1,0,79
12.3,1,0,79
12.371,-2,0,79
12.386,2,-1,79
12.473,-2,1,79
12.473,0,0,79
12.531,3,-1,79
12.555,-3,1,79
12.589,0,0,79
12.65,1,0,79
12.686,0,0,79
12.714,-1,0,79
12.767,2,-1,79
12.792,1,1,79
12.858,-3,-1,79
12.871,3,0,79
12.913,0,0,79
12.96,-3,0,78
13.024,2,0,78
13.053,-1,0,78
13.099,0,0,78
13.123,1,0,78
13.19,-1,0,80
13.23,-1,0,80
13.242,2,0,80
13.308,1,0,80
13.335,-3,0,80
13.383,1,0,80
13.425,-1,0,80
13.47,0,1,80
13.5,3,-1,80
13.547,-3,0,80
13.572,1,0,78
13.62,0,0,78
13.657,2,0,78
13.698,-3,0,78
13.745,3,0,78
13.787,-1,0,78
13.833,-2,1,78
13.881,3,-1,78
13.916,-1,0,78
13.942,-2,0,78
13.999,2,0,78
14.024,0,0,78
14.065,-1,0,78
14.125,2,0,78
14.154,-1,0,78
14.204,-2,1,79
14.228,2,-1,79
14.288,0,0,79
14.325,-2,0,79
14.365,1,0,79
14.388,-1,1,79
14.448,0,0,79
14.476,2,-1,79
14.531,-2,0,79
14.552,0,1,79
14.605,2,-1,79
14.637,0,0,79
14.683,-2,0,79
14.719,0,0,79
14.8,0,1,79
14.8,0,-1,79
14.849,2,0,79
14.887,-2,1,79
14.94,1,-1,79
14.999,3,0,79
15.01,-3,0,79
15.063,-1,0,79
15.087,3,0,79
15.136,-2,0,79
